standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,source_month,source_type,profile_generated_at
AI Agent应用工程师,AI工作流设计,AI,1,1,1.0,37,17,0.459459,稳定核心技能,1,1,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,Agent,大模型,1,1,1.0,37,20,0.540541,稳定核心技能,1,2,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,AutoGen,大模型,1,1,1.0,37,18,0.486486,稳定核心技能,1,3,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,C/C++,编程语言,1,1,1.0,37,21,0.567568,稳定核心技能,1,4,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,Context Engineering,大模型,1,1,1.0,37,17,0.459459,稳定核心技能,1,5,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,Function Calling,大模型,1,1,1.0,37,20,0.540541,稳定核心技能,1,6,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,Go,编程语言,1,1,1.0,37,23,0.621622,稳定核心技能,1,7,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,Java,编程语言,1,1,1.0,37,21,0.567568,稳定核心技能,1,8,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,LLM,大模型,1,1,1.0,37,20,0.540541,稳定核心技能,1,9,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,LangChain,大模型,1,1,1.0,37,21,0.567568,稳定核心技能,1,10,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,LangGraph,大模型,1,1,1.0,37,19,0.513514,稳定核心技能,1,11,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,MCP,大模型,1,1,1.0,37,17,0.459459,稳定核心技能,1,12,2026-07,system,2026-08-08T05:28:57+00:00
AI Agent应用工程师,Multi-Agent,大模型,1,1,1.0,37,18,0.486486,稳定核心技能,1,13,2026-07,system,2026-08-08T05:28:57+00:00
