month,skill,kg_display_skill,standard_job,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,job_first_seen_month,skill_first_seen_month,months_since_skill_first_seen,is_first_seen_job,is_new_job_for_skill,covered_job_count_this_month,cumulative_covered_job_count,monthly_frequency_change,cumulative_frequency_change,is_left_censored,updated_at
2024-12,AIGC,AI,AIGC算法工程师,1,1,1.0,1,1,1.0,2024-12,2024-12,0,1,1,3,3,1.0,1.0,1,2026-08-08T05:27:55+00:00
2025-01,AIGC,AI,AIGC算法工程师,2,1,0.5,3,2,0.666667,2024-12,2024-12,1,1,0,4,4,-0.5,-0.333333,1,2026-08-08T05:27:55+00:00
2025-03,AIGC,AI,AIGC算法工程师,1,1,1.0,4,3,0.75,2024-12,2024-12,3,1,0,4,5,0.5,0.083333,1,2026-08-08T05:27:55+00:00
2025-04,AIGC,AI,AIGC算法工程师,1,1,1.0,5,4,0.8,2024-12,2024-12,4,1,0,3,5,0.0,0.05,1,2026-08-08T05:27:55+00:00
2025-05,AIGC,AI,AIGC算法工程师,1,1,1.0,6,5,0.833333,2024-12,2024-12,5,1,0,6,7,0.0,0.033333,1,2026-08-08T05:27:55+00:00
2025-06,AIGC,AI,AIGC算法工程师,2,1,0.5,8,6,0.75,2024-12,2024-12,6,1,0,5,7,-0.5,-0.083333,1,2026-08-08T05:27:55+00:00
2025-07,AIGC,AI,AIGC算法工程师,2,1,0.5,10,7,0.7,2024-12,2024-12,7,1,0,5,8,0.0,-0.05,1,2026-08-08T05:27:55+00:00
2025-08,AIGC,AI,AIGC算法工程师,3,2,0.666667,13,9,0.692308,2024-12,2024-12,8,1,0,5,9,0.166667,-0.007692,1,2026-08-08T05:27:55+00:00
2025-09,AIGC,AI,AIGC算法工程师,3,1,0.333333,16,10,0.625,2024-12,2024-12,9,1,0,6,9,-0.333334,-0.067308,1,2026-08-08T05:27:55+00:00
2025-10,AIGC,AI,AIGC算法工程师,3,1,0.333333,19,11,0.578947,2024-12,2024-12,10,1,0,5,9,0.0,-0.046053,1,2026-08-08T05:27:55+00:00
