month,standard_job,skill,kg_display_skill,lifecycle_status,first_seen_month,last_seen_month,age_months,months_since_last_seen,current_monthly_skill_count,current_monthly_skill_frequency,cumulative_skill_count,cumulative_skill_frequency,recent_3m_skill_count,recent_6m_skill_count,recent_3m_active_months,recent_6m_active_months,prev_3m_skill_count,prev_6m_skill_count,mom_frequency_change,recent_3m_vs_prev_3m_change,recent_6m_frequency_stddev,covered_job_count,recent_3m_covered_job_count,prev_3m_covered_job_count,recent_3m_covered_job_count_change,lifecycle_reason,updated_at
2026-07,AI Agent应用工程师,AI工作流设计,AI,活跃技能,2025-01,2026-07,19,0,1,1.0,17,0.459459,2,5,2,5,3,5,1.0,-0.333333,0.295282,9,5,6,-1,最近3个月活跃2个月，最近3个月出现2次,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,AI应用开发,AI,观察中,2025-02,2025-02,18,17,0,0.0,1,0.027027,0,0,0,0,0,0,0.0,0.0,0.0,10,4,5,-1,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,Agent,大模型,稳定核心技能,2025-01,2026-07,19,0,1,1.0,20,0.540541,2,5,2,5,3,6,1.0,-0.333333,0.295282,11,8,7,1,岗位样本较稀疏，但该技能长期累计高频，且观察月频率1.00,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,AutoGen,大模型,活跃技能,2025-02,2026-07,18,0,1,1.0,18,0.486486,2,5,2,5,3,6,1.0,-0.333333,0.295282,7,4,4,0,最近3个月活跃2个月，最近3个月出现2次,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,C/C++,编程语言,稳定核心技能,2024-12,2026-07,20,0,1,1.0,21,0.567568,2,6,2,5,4,5,1.0,-0.5,0.295282,61,55,56,-1,岗位样本较稀疏，但该技能长期累计高频，且观察月频率1.00,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,Context Engineering,大模型,活跃技能,2025-03,2026-07,17,0,1,1.0,17,0.459459,2,6,2,5,4,5,1.0,-0.5,0.295282,9,5,5,0,最近3个月活跃2个月，最近3个月出现2次,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,Embedding,大模型,观察中,2025-01,2025-01,19,18,0,0.0,1,0.027027,0,0,0,0,0,0,0.0,0.0,0.0,10,5,5,0,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,Function Calling,大模型,稳定核心技能,2025-01,2026-07,19,0,1,1.0,20,0.540541,2,6,2,5,4,6,1.0,-0.5,0.295282,9,5,5,0,岗位样本较稀疏，但该技能长期累计高频，且观察月频率1.00,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,Go,编程语言,稳定核心技能,2024-12,2026-07,20,0,1,1.0,23,0.621622,2,6,2,5,4,6,1.0,-0.5,0.295282,38,31,32,-1,岗位样本较稀疏，但该技能长期累计高频，且观察月频率1.00,2026-08-08T05:27:27+00:00
2026-07,AI Agent应用工程师,Java,编程语言,稳定核心技能,2024-12,2026-07,20,0,1,1.0,21,0.567568,2,6,2,5,4,6,1.0,-0.5,0.295282,45,35,37,-2,岗位样本较稀疏，但该技能长期累计高频，且观察月频率1.00,2026-08-08T05:27:27+00:00
