standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,source_month,source_type,profile_generated_at
AI Agent应用工程师,prompt工程,大模型,22,13,0.590909,418,211,0.504785,稳定核心技能,1,1,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Agent,大模型,22,12,0.545455,418,195,0.466507,稳定核心技能,1,2,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Go,编程语言,22,12,0.545455,418,203,0.485646,稳定核心技能,1,3,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Java,编程语言,22,11,0.5,418,205,0.490431,稳定核心技能,1,4,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,LangChain,大模型,22,11,0.5,418,197,0.471292,稳定核心技能,1,5,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Multi-Agent,大模型,22,11,0.5,418,173,0.413876,稳定核心技能,1,6,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Python,编程语言,22,11,0.5,418,213,0.509569,稳定核心技能,1,7,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,RAG,大模型,22,11,0.5,418,197,0.471292,稳定核心技能,1,8,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,AutoGen,大模型,22,10,0.454545,418,167,0.399522,稳定核心技能,1,9,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,LLM,大模型,22,10,0.454545,418,183,0.437799,稳定核心技能,1,10,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,LangGraph,大模型,22,10,0.454545,418,175,0.41866,稳定核心技能,1,11,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,分布式系统,软件工程,22,10,0.454545,418,167,0.399522,稳定核心技能,1,12,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,AI工作流设计,AI,22,9,0.409091,418,174,0.416268,稳定核心技能,1,13,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,C/C++,编程语言,22,9,0.409091,418,191,0.456938,稳定核心技能,1,14,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Context Engineering,大模型,22,9,0.409091,418,150,0.358852,稳定核心技能,1,15,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,软件开发,软件开发,22,9,0.409091,418,193,0.461722,稳定核心技能,1,16,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,Function Calling,大模型,22,8,0.363636,418,161,0.385167,稳定核心技能,1,17,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,MCP,大模型,22,8,0.363636,418,148,0.354067,稳定核心技能,1,18,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,深度学习框架,AI,22,1,0.045455,418,1,0.002392,当月活跃技能,0,19,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent应用工程师,知识图谱,知识图谱,22,1,0.045455,418,6,0.014354,当月活跃技能,0,20,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,SFT,大模型,22,14,0.636364,427,191,0.447307,稳定核心技能,1,1,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,LLM,大模型,22,12,0.545455,427,192,0.449649,稳定核心技能,1,2,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,Machine Learning,AI,22,12,0.545455,427,211,0.494145,稳定核心技能,1,3,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,Multi-Agent,大模型,22,12,0.545455,427,184,0.430913,稳定核心技能,1,4,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,PyTorch,AI,22,12,0.545455,427,220,0.515222,稳定核心技能,1,5,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,RAG,大模型,22,12,0.545455,427,179,0.419204,稳定核心技能,1,6,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,RLHF,大模型,22,12,0.545455,427,182,0.42623,稳定核心技能,1,7,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,Agent,大模型,22,11,0.5,427,199,0.466042,稳定核心技能,1,8,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,C/C++,编程语言,22,11,0.5,427,211,0.494145,稳定核心技能,1,9,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,GRPO,大模型,22,11,0.5,427,153,0.358314,稳定核心技能,1,10,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,模型训练,大模型,22,11,0.5,427,117,0.274005,稳定核心技能,1,11,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,NLP,大模型,22,10,0.454545,427,216,0.505855,稳定核心技能,1,12,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,TensorFlow,AI,22,10,0.454545,427,199,0.466042,稳定核心技能,1,13,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,机器学习,AI,22,10,0.454545,427,210,0.491803,稳定核心技能,1,14,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,计算机视觉,计算机视觉与图形,22,10,0.454545,427,193,0.451991,稳定核心技能,1,15,2026-07,system,2026-08-12T16:56:03+00:00
AI Agent算法工程师,AutoGen,大模型,22,9,0.409091,427,160,0.374707,稳定核心技能,1,16,2026-07,system,2026-08-12T16:56:03+00:00
