month,standard_job,skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency
2025-01,AI Agent应用工程师,AI工作流设计,22,12,0.545455,42,12,0.285714
2025-02,AI Agent应用工程师,AI工作流设计,22,8,0.363636,64,20,0.3125
2025-03,AI Agent应用工程师,AI工作流设计,21,7,0.333333,85,27,0.317647
2025-04,AI Agent应用工程师,AI工作流设计,20,8,0.4,105,35,0.333333
2025-05,AI Agent应用工程师,AI工作流设计,21,8,0.380952,126,43,0.34127
2025-06,AI Agent应用工程师,AI工作流设计,23,10,0.434783,149,53,0.355705
2025-07,AI Agent应用工程师,AI工作流设计,22,8,0.363636,171,61,0.356725
2025-08,AI Agent应用工程师,AI工作流设计,22,10,0.454545,193,71,0.367876
2025-09,AI Agent应用工程师,AI工作流设计,21,10,0.47619,214,81,0.378505
2025-10,AI Agent应用工程师,AI工作流设计,23,12,0.521739,237,93,0.392405
2025-11,AI Agent应用工程师,AI工作流设计,21,10,0.47619,258,103,0.399225
2025-12,AI Agent应用工程师,AI工作流设计,20,8,0.4,278,111,0.399281
2026-01,AI Agent应用工程师,AI工作流设计,20,10,0.5,298,121,0.40604
2026-02,AI Agent应用工程师,AI工作流设计,20,10,0.5,318,131,0.41195
2026-03,AI Agent应用工程师,AI工作流设计,19,8,0.421053,337,139,0.412463
2026-04,AI Agent应用工程师,AI工作流设计,19,8,0.421053,356,147,0.412921
2026-05,AI Agent应用工程师,AI工作流设计,20,9,0.45,376,156,0.414894
2026-06,AI Agent应用工程师,AI工作流设计,20,9,0.45,396,165,0.416667
2026-07,AI Agent应用工程师,AI工作流设计,22,9,0.409091,418,174,0.416268
2025-02,AI Agent应用工程师,AI应用开发,22,1,0.045455,64,1,0.015625
2025-03,AI Agent应用工程师,AI应用开发,21,0,0.0,85,1,0.011765
2025-04,AI Agent应用工程师,AI应用开发,20,0,0.0,105,1,0.009524
2025-05,AI Agent应用工程师,AI应用开发,21,0,0.0,126,1,0.007937
2025-06,AI Agent应用工程师,AI应用开发,23,0,0.0,149,1,0.006711
2025-07,AI Agent应用工程师,AI应用开发,22,0,0.0,171,1,0.005848
2025-08,AI Agent应用工程师,AI应用开发,22,0,0.0,193,1,0.005181
2025-09,AI Agent应用工程师,AI应用开发,21,0,0.0,214,1,0.004673
2025-10,AI Agent应用工程师,AI应用开发,23,0,0.0,237,1,0.004219
2025-11,AI Agent应用工程师,AI应用开发,21,0,0.0,258,1,0.003876
2025-12,AI Agent应用工程师,AI应用开发,20,2,0.1,278,3,0.010791
2026-01,AI Agent应用工程师,AI应用开发,20,0,0.0,298,3,0.010067
2026-02,AI Agent应用工程师,AI应用开发,20,0,0.0,318,3,0.009434
2026-03,AI Agent应用工程师,AI应用开发,19,0,0.0,337,3,0.008902
2026-04,AI Agent应用工程师,AI应用开发,19,0,0.0,356,3,0.008427
2026-05,AI Agent应用工程师,AI应用开发,20,2,0.1,376,5,0.013298
2026-06,AI Agent应用工程师,AI应用开发,20,0,0.0,396,5,0.012626
2026-07,AI Agent应用工程师,AI应用开发,22,0,0.0,418,5,0.011962
2025-01,AI Agent应用工程师,Agent,22,11,0.5,42,11,0.261905
2025-02,AI Agent应用工程师,Agent,22,11,0.5,64,22,0.34375
2025-03,AI Agent应用工程师,Agent,21,12,0.571429,85,34,0.4
2025-04,AI Agent应用工程师,Agent,20,11,0.55,105,45,0.428571
2025-05,AI Agent应用工程师,Agent,21,10,0.47619,126,55,0.436508
2025-06,AI Agent应用工程师,Agent,23,11,0.478261,149,66,0.442953
2025-07,AI Agent应用工程师,Agent,22,11,0.5,171,77,0.450292
2025-08,AI Agent应用工程师,Agent,22,12,0.545455,193,89,0.46114
2025-09,AI Agent应用工程师,Agent,21,10,0.47619,214,99,0.462617
2025-10,AI Agent应用工程师,Agent,23,10,0.434783,237,109,0.459916
2025-11,AI Agent应用工程师,Agent,21,9,0.428571,258,118,0.457364
2025-12,AI Agent应用工程师,Agent,20,9,0.45,278,127,0.456835
2026-01,AI Agent应用工程师,Agent,20,10,0.5,298,137,0.459732
