month,skill,kg_display_skill,standard_job,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,job_first_seen_month,skill_first_seen_month,months_since_skill_first_seen,is_first_seen_job,is_new_job_for_skill,covered_job_count_this_month,cumulative_covered_job_count,monthly_frequency_change,cumulative_frequency_change,is_left_censored,updated_at
2024-12,AIGC,AI,AIGC算法工程师,23,13,0.565217,23,13,0.565217,2024-12,2024-12,0,1,1,3,3,0.565217,0.565217,1,2026-08-08T05:14:20+00:00
2025-01,AIGC,AI,AIGC算法工程师,22,12,0.545455,45,25,0.555556,2024-12,2024-12,1,1,0,4,4,-0.019762,-0.009661,1,2026-08-08T05:14:20+00:00
2025-02,AIGC,AI,AIGC算法工程师,20,10,0.5,65,35,0.538462,2024-12,2024-12,2,1,0,6,6,-0.045455,-0.017094,1,2026-08-08T05:14:20+00:00
2025-03,AIGC,AI,AIGC算法工程师,23,12,0.521739,88,47,0.534091,2024-12,2024-12,3,1,0,5,6,0.021739,-0.004371,1,2026-08-08T05:14:20+00:00
2025-04,AIGC,AI,AIGC算法工程师,21,11,0.52381,109,58,0.53211,2024-12,2024-12,4,1,0,5,6,0.002071,-0.001981,1,2026-08-08T05:14:20+00:00
2025-05,AIGC,AI,AIGC算法工程师,21,9,0.428571,130,67,0.515385,2024-12,2024-12,5,1,0,6,7,-0.095239,-0.016725,1,2026-08-08T05:14:20+00:00
2025-06,AIGC,AI,AIGC算法工程师,20,12,0.6,150,79,0.526667,2024-12,2024-12,6,1,0,5,7,0.171429,0.011282,1,2026-08-08T05:14:20+00:00
2025-07,AIGC,AI,AIGC算法工程师,22,13,0.590909,172,92,0.534884,2024-12,2024-12,7,1,0,6,8,-0.009091,0.008217,1,2026-08-08T05:14:20+00:00
2025-08,AIGC,AI,AIGC算法工程师,23,12,0.521739,195,104,0.533333,2024-12,2024-12,8,1,0,7,9,-0.06917,-0.001551,1,2026-08-08T05:14:20+00:00
2025-09,AIGC,AI,AIGC算法工程师,20,11,0.55,215,115,0.534884,2024-12,2024-12,9,1,0,6,9,0.028261,0.001551,1,2026-08-08T05:14:20+00:00
