skill_keyword,normalized_skill,kg_display_skill
.NET,.NET,编程语言
Agent,Agent,Agent
AI Coding,AI Coding,AI
人机协同编程,AI Coding,AI
代码RAG,AI Coding,AI
代码智能,AI Coding,AI
代码智能化工具,AI Coding,AI
代码智能评测,AI Coding,AI
代码模型,AI Coding,AI
代码生成,AI Coding,AI
代码生成协议,AI Coding,AI
代码生成数据,AI Coding,AI
代码生成系统,AI Coding,AI
代码能力评测,AI Coding,AI
代码自动生成工具,AI Coding,AI
代码补全,AI Coding,AI
智能编码,AI Coding,AI
智能编程,AI Coding,AI
智能编程助手,AI Coding,AI
智能辅助编程,AI Coding,AI
智能重构,AI Coding,AI
自动代码优化,AI Coding,AI
自动代码生成,AI Coding,AI
自动修复,AI Coding,AI
自动化Code Review,AI Coding,AI
自动化代码审计,AI Coding,AI
自动化代码生成,AI Coding,AI
自动化研发助手,AI Coding,AI
自动化研发工具,AI Coding,AI
自动化脚本生成,AI Coding,AI
AIGC,AIGC,AI
文本创作,AIGC,AI
文本生成,AIGC,AI
文案生成,AIGC,AI
文生3D,AIGC,AI
文生图,AIGC,AI
文生图模型,AIGC,AI
文生文,AIGC,AI
文生视频,AIGC,AI
文生音频,AIGC,AI
生图训练,AIGC,AI
生成建模,AIGC,AI
生成式AI,AIGC,AI
生成式UI,AIGC,AI
生成式仿真,AIGC,AI
生成式信号,AIGC,AI
生成式出价,AIGC,AI
生成式召回,AIGC,AI
生成式广告,AIGC,AI
生成机制,AIGC,AI
生成模型,AIGC,AI
生成算法,AIGC,AI
生成范式,AIGC,AI
素材洞察,AIGC,AI
素材生成,AIGC,AI
素材编辑,AIGC,AI
细节生成,AIGC,AI
表情驱动,AIGC,AI
AIops,AIops,系统与运维
智能化测试,AIops,系统与运维
智能化运维,AIops,系统与运维
智能告警,AIops,系统与运维
智能告警研判,AIops,系统与运维
智能审核诊断,AIops,系统与运维
智能巡检,AIops,系统与运维
智能应急,AIops,系统与运维
智能座舱测试,AIops,系统与运维
智能测试,AIops,系统与运维
智能测试分析,AIops,系统与运维
智能测试工具,AIops,系统与运维
智能测试生成,AIops,系统与运维
智能漏洞挖掘,AIops,系统与运维
智能监控,AIops,系统与运维
智能眼镜测试,AIops,系统与运维
智能硬件测试,AIops,系统与运维
智能穿戴测试,AIops,系统与运维
智能系统评估,AIops,系统与运维
智能终端测试,AIops,系统与运维
智能评测,AIops,系统与运维
智能诊断,AIops,系统与运维
智能诊断工具,AIops,系统与运维
智能诊断平台,AIops,系统与运维
智能质检,AIops,系统与运维
智能运维,AIops,系统与运维
智能运维工程,AIops,系统与运维
智能运维算法,AIops,系统与运维
AI助手,AI助手,AI
学习助手,AI助手,AI
虚拟助手,AI助手,AI
AI基础设施,AI基础设施,AI
智算,AI基础设施,AI
智算中心,AI基础设施,AI
智算服务器,AI基础设施,AI
智算系统,AI基础设施,AI
智算网络,AI基础设施,AI
智算集群,AI基础设施,AI
智算集群调度,AI基础设施,AI
智算集群运维,AI基础设施,AI
AI安全,AI安全,安全
人工智能安全,AI安全,安全
AI工作流设计,AI工作流设计,AI
任务分解,AI工作流设计,AI
任务分配,AI工作流设计,AI
任务协商,AI工作流设计,AI
任务执行,AI工作流设计,AI
任务流,AI工作流设计,AI
任务规划,AI工作流设计,AI
函数调用,AI工作流设计,AI
反思,AI工作流设计,AI
反思机制,AI工作流设计,AI
反思规划,AI工作流设计,AI
反思迭代,AI工作流设计,AI
复杂推理,AI工作流设计,AI
多任务,AI工作流设计,AI
多步推理,AI工作流设计,AI
多步规划,AI工作流设计,AI
多轮执行,AI工作流设计,AI
多轮推理,AI工作流设计,AI
多轮规划,AI工作流设计,AI
工具使用,AI工作流设计,AI
工具协议,AI工作流设计,AI
工具学习,AI工作流设计,AI
工具模型,AI工作流设计,AI
自主决策,AI工作流设计,AI
自主反思,AI工作流设计,AI
自主执行,AI工作流设计,AI
自反思,AI工作流设计,AI
自进化,AI工作流设计,AI
AI工程,AI工程,AI
AI应用开发,AI应用开发,AI
智能BI,AI应用开发,AI
智能ETL,AI应用开发,AI
智能交互,AI应用开发,AI
智能会议,AI应用开发,AI
智能体安全,AI应用开发,AI
智能决策,AI应用开发,AI
智能分析,AI应用开发,AI
智能创意,AI应用开发,AI
智能制造,AI应用开发,AI
智能助手,AI应用开发,AI
智能化,AI应用开发,AI
智能化工程,AI应用开发,AI
智能归因,AI应用开发,AI
智能成片,AI应用开发,AI
智能批改,AI应用开发,AI
智能指针,AI应用开发,AI
智能搭建,AI应用开发,AI
智能核身,AI应用开发,AI
智能洞察,AI应用开发,AI
智能语音,AI应用开发,AI
智能调度,AI应用开发,AI
智能调试,AI应用开发,AI
智能辅助,AI应用开发,AI
智能重写,AI应用开发,AI
智能限流,AI应用开发,AI
智能音效,AI应用开发,AI
智能风控,AI应用开发,AI
AI框架,AI框架,AI
主流计算框架,AI框架,AI
AI测试,AI测试,AI
AI质量保障,AI测试,AI
AI质量工具,AI测试,AI
AI质量工程,AI测试,AI
AI质量门禁,AI测试,AI
人工智能测试工具,AI测试,AI
AI模型,AI算法,AI
AI算法,AI算法,AI
主流AI模型,AI算法,AI
人工智能,AI算法,AI
人工智能算法,AI算法,AI
智能体平台核心算法,AI算法,AI
智能体算法,AI算法,AI
智能感知算法,AI算法,AI
智能报告生成,AI算法,AI
智能摘要,AI算法,AI
智能生成,AI算法,AI
智能知识库,AI算法,AI
智能营销算法,AI算法,AI
智能表单生成,AI算法,AI
智能计算,AI算法,AI
智能计算平台,AI算法,AI
智能记忆系统,AI算法,AI
智能调度算法,AI算法,AI
模型,AI算法,AI
AI芯片,AI芯片,硬件与芯片
寒武纪,AI芯片,硬件与芯片
寒武纪平台,AI芯片,硬件与芯片
昆仑芯,AI芯片,硬件与芯片
Ascend,Ascend,硬件与芯片
昇腾,Ascend,硬件与芯片
昇腾AI计算平台,Ascend,硬件与芯片
昇腾CANN,Ascend,硬件与芯片
ASR,ASR,大模型
会议转写,ASR,大模型
录音转写,ASR,大模型
流式ASR,ASR,大模型
语音识别,ASR,大模型
语音识别工具,ASR,大模型
语音识别测试,ASR,大模型
语音识别解码器,ASR,大模型
语音转文字,ASR,大模型
Attention机制,Attention机制,大模型
交叉注意力,Attention机制,大模型
注意力优化,Attention机制,大模型
注意力分析,Attention机制,大模型
注意力机制,Attention机制,大模型
注意力机制优化,Attention机制,大模型
自注意力机制,Attention机制,大模型
AUTOSAR,AUTOSAR,行业应用
C/C++,C/C++,编程语言
CAD/CAE工具,CAD/CAE工具,科学计算与仿真
CUDA,CUDA,硬件与芯片
Diffusion模型,Diffusion模型,大模型
扩散模型,Diffusion模型,大模型
扩散模型优化,Diffusion模型,大模型
扩散模型推理,Diffusion模型,大模型
扩散模型训练,Diffusion模型,大模型
扩散模型调优,Diffusion模型,大模型
扩散音频处理,Diffusion模型,大模型
Diff算法,Diff算法,算法与数学
Docker,Docker,系统与运维
DSP开发,DSP开发,硬件与芯片
Embedding,Embedding,大模型
ESL建模,ESL建模,硬件与芯片
ETA算法,ETA算法,行业应用
Go,Go,编程语言
GPU内存优化,GPU内存优化,硬件与芯片
显存,GPU内存优化,硬件与芯片
显存优化,GPU内存优化,硬件与芯片
显存体系,GPU内存优化,硬件与芯片
显存分析,GPU内存优化,硬件与芯片
显存分页管理,GPU内存优化,硬件与芯片
显存加速,GPU内存优化,硬件与芯片
显存占用,GPU内存优化,硬件与芯片
显存层次结构,GPU内存优化,硬件与芯片
显存带宽优化,GPU内存优化,硬件与芯片
显存池化,GPU内存优化,硬件与芯片
显存测试,GPU内存优化,硬件与芯片
显存瓶颈优化,GPU内存优化,硬件与芯片
显存监控,GPU内存优化,硬件与芯片
显存管理,GPU内存优化,硬件与芯片
显存调度,GPU内存优化,硬件与芯片
harness工程,harness工程,软件工程
HIL测试,HIL测试,软件测试
HMI开发,HMI开发,交互体验
Hook技术,Hook技术,软件开发
ISP算法,ISP算法,硬件与芯片
