month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2024-12,AI Agent应用工程师,C/C++,编程语言,2,2,1.0,2,2,1.0,稳定核心技能,1,1,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,Go,编程语言,2,2,1.0,2,2,1.0,稳定核心技能,1,2,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,Java,编程语言,2,1,0.5,2,1,0.5,稳定核心技能,1,6,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,Linux,系统与运维,2,1,0.5,2,1,0.5,稳定核心技能,1,7,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,Python,编程语言,2,2,1.0,2,2,1.0,稳定核心技能,1,3,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,TypeScript,编程语言,2,1,0.5,2,1,0.5,稳定核心技能,1,8,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,prompt工程,大模型,2,2,1.0,2,2,1.0,稳定核心技能,1,4,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,分布式系统,软件工程,2,2,1.0,2,2,1.0,稳定核心技能,1,5,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,多租户架构,系统与运维,2,1,0.5,2,1,0.5,稳定核心技能,1,9,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,编程语言,编程语言,2,1,0.5,2,1,0.5,稳定核心技能,1,10,2026-07-30T01:30:51+00:00
2024-12,AI Agent应用工程师,软件开发,软件开发,2,1,0.5,2,1,0.5,稳定核心技能,1,11,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,AI工作流设计,AI,3,1,0.333333,5,1,0.2,当月活跃技能,0,9,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Agent,大模型,3,2,0.666667,5,2,0.4,稳定核心技能,1,1,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,C/C++,编程语言,3,1,0.333333,5,3,0.6,稳定核心技能,1,10,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Embedding,大模型,3,1,0.333333,5,1,0.2,当月活跃技能,0,11,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Function Calling,大模型,3,2,0.666667,5,2,0.4,稳定核心技能,1,2,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Go,编程语言,3,2,0.666667,5,4,0.8,稳定核心技能,1,3,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Java,编程语言,3,2,0.666667,5,3,0.6,稳定核心技能,1,4,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,LLM,大模型,3,1,0.333333,5,1,0.2,当月活跃技能,0,12,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,LangChain,大模型,3,2,0.666667,5,2,0.4,稳定核心技能,1,5,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Linux,系统与运维,3,0,0.0,5,1,0.2,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,Python,编程语言,3,2,0.666667,5,4,0.8,稳定核心技能,1,6,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,RAG,大模型,3,2,0.666667,5,2,0.4,稳定核心技能,1,7,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,TypeScript,编程语言,3,1,0.333333,5,2,0.4,稳定核心技能,1,13,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,prompt工程,大模型,3,2,0.666667,5,4,0.8,稳定核心技能,1,8,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,分布式系统,软件工程,3,1,0.333333,5,3,0.6,稳定核心技能,1,14,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,多租户架构,系统与运维,3,0,0.0,5,1,0.2,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,硬件开发,硬件与芯片,3,1,0.333333,5,1,0.2,当月活跃技能,0,15,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,编程语言,编程语言,3,0,0.0,5,1,0.2,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-01,AI Agent应用工程师,软件开发,软件开发,3,1,0.333333,5,2,0.4,稳定核心技能,1,16,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,AI工作流设计,AI,3,1,0.333333,8,2,0.25,稳定核心技能,1,12,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,AI应用开发,AI,3,1,0.333333,8,1,0.125,当月活跃技能,0,13,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Agent,大模型,3,2,0.666667,8,4,0.5,稳定核心技能,1,1,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,AutoGen,大模型,3,2,0.666667,8,2,0.25,稳定核心技能,1,2,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,C/C++,编程语言,3,2,0.666667,8,5,0.625,稳定核心技能,1,3,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Embedding,大模型,3,0,0.0,8,1,0.125,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Function Calling,大模型,3,1,0.333333,8,3,0.375,稳定核心技能,1,14,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Go,编程语言,3,2,0.666667,8,6,0.75,稳定核心技能,1,4,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Java,编程语言,3,1,0.333333,8,4,0.5,稳定核心技能,1,15,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,LLM,大模型,3,2,0.666667,8,3,0.375,稳定核心技能,1,5,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,LangChain,大模型,3,2,0.666667,8,4,0.5,稳定核心技能,1,6,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,LangGraph,大模型,3,2,0.666667,8,2,0.25,稳定核心技能,1,7,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Linux,系统与运维,3,0,0.0,8,1,0.125,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Multi-Agent,大模型,3,1,0.333333,8,1,0.125,当月活跃技能,0,16,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Python,编程语言,3,2,0.666667,8,6,0.75,稳定核心技能,1,8,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,RAG,大模型,3,2,0.666667,8,4,0.5,稳定核心技能,1,9,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,Tool Use,大模型,3,1,0.333333,8,1,0.125,当月活跃技能,0,17,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,TypeScript,编程语言,3,0,0.0,8,2,0.25,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,prompt工程,大模型,3,2,0.666667,8,6,0.75,稳定核心技能,1,10,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,分布式系统,软件工程,3,1,0.333333,8,4,0.5,稳定核心技能,1,18,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,向量数据库,数据工程,3,1,0.333333,8,1,0.125,当月活跃技能,0,19,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,多租户架构,系统与运维,3,0,0.0,8,1,0.125,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,大模型应用,大模型,3,1,0.333333,8,1,0.125,当月活跃技能,0,20,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,知识图谱,知识图谱,3,1,0.333333,8,1,0.125,当月活跃技能,0,21,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,硬件开发,硬件与芯片,3,0,0.0,8,1,0.125,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,编程语言,编程语言,3,0,0.0,8,1,0.125,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-02,AI Agent应用工程师,软件开发,软件开发,3,2,0.666667,8,4,0.5,稳定核心技能,1,11,2026-07-30T01:30:51+00:00
2025-03,AI Agent应用工程师,AI工作流设计,AI,2,1,0.5,10,3,0.3,稳定核心技能,1,2,2026-07-30T01:30:51+00:00
2025-03,AI Agent应用工程师,AI应用开发,AI,2,0,0.0,10,1,0.1,当月未出现,0,,2026-07-30T01:30:51+00:00
2025-03,AI Agent应用工程师,Agent,大模型,2,1,0.5,10,5,0.5,稳定核心技能,1,3,2026-07-30T01:30:51+00:00
2025-03,AI Agent应用工程师,AutoGen,大模型,2,1,0.5,10,3,0.3,稳定核心技能,1,4,2026-07-30T01:30:51+00:00
2025-03,AI Agent应用工程师,C/C++,编程语言,2,1,0.5,10,6,0.6,稳定核心技能,1,5,2026-07-30T01:30:51+00:00
