month,standard_job,skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency
2026-02,AI Agent应用工程师,AI安全,1,1,1.0,18,1,0.055556
2026-03,AI Agent应用工程师,AI安全,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,AI安全,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,AI安全,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,AI安全,3,0,0.0,26,1,0.038462
2025-09,AI Agent应用工程师,AI工作流设计,4,1,0.25,12,1,0.083333
2025-10,AI Agent应用工程师,AI工作流设计,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,AI工作流设计,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,AI工作流设计,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,AI工作流设计,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,AI工作流设计,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,AI工作流设计,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,AI工作流设计,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,AI工作流设计,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,AI工作流设计,3,0,0.0,26,1,0.038462
2026-01,AI Agent应用工程师,AI算法,2,1,0.5,17,1,0.058824
2026-02,AI Agent应用工程师,AI算法,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,AI算法,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,AI算法,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,AI算法,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,AI算法,3,0,0.0,26,1,0.038462
2025-01,AI Agent应用工程师,Agent,2,1,0.5,3,1,0.333333
2025-02,AI Agent应用工程师,Agent,1,0,0.0,4,1,0.25
2025-03,AI Agent应用工程师,Agent,1,0,0.0,5,1,0.2
2025-04,AI Agent应用工程师,Agent,1,0,0.0,6,1,0.166667
2025-05,AI Agent应用工程师,Agent,1,0,0.0,7,1,0.142857
2025-07,AI Agent应用工程师,Agent,1,0,0.0,8,1,0.125
2025-09,AI Agent应用工程师,Agent,4,0,0.0,12,1,0.083333
2025-10,AI Agent应用工程师,Agent,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,Agent,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,Agent,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,Agent,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,Agent,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,Agent,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,Agent,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,Agent,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,Agent,3,0,0.0,26,1,0.038462
2025-01,AI Agent应用工程师,Android,2,1,0.5,3,1,0.333333
2025-02,AI Agent应用工程师,Android,1,0,0.0,4,1,0.25
2025-03,AI Agent应用工程师,Android,1,0,0.0,5,1,0.2
2025-04,AI Agent应用工程师,Android,1,0,0.0,6,1,0.166667
2025-05,AI Agent应用工程师,Android,1,0,0.0,7,1,0.142857
2025-07,AI Agent应用工程师,Android,1,0,0.0,8,1,0.125
2025-09,AI Agent应用工程师,Android,4,0,0.0,12,1,0.083333
2025-10,AI Agent应用工程师,Android,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,Android,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,Android,1,1,1.0,15,2,0.133333
2026-01,AI Agent应用工程师,Android,2,0,0.0,17,2,0.117647
2026-02,AI Agent应用工程师,Android,1,0,0.0,18,2,0.111111
2026-03,AI Agent应用工程师,Android,2,0,0.0,20,2,0.1
2026-04,AI Agent应用工程师,Android,1,0,0.0,21,2,0.095238
2026-05,AI Agent应用工程师,Android,2,0,0.0,23,2,0.086957
2026-07,AI Agent应用工程师,Android,3,0,0.0,26,2,0.076923
2025-12,AI Agent应用工程师,Angular,1,1,1.0,15,1,0.066667
2026-01,AI Agent应用工程师,Angular,2,1,0.5,17,2,0.117647
2026-02,AI Agent应用工程师,Angular,1,0,0.0,18,2,0.111111
2026-03,AI Agent应用工程师,Angular,2,0,0.0,20,2,0.1
2026-04,AI Agent应用工程师,Angular,1,0,0.0,21,2,0.095238
2026-05,AI Agent应用工程师,Angular,2,0,0.0,23,2,0.086957
2026-07,AI Agent应用工程师,Angular,3,0,0.0,26,2,0.076923
2025-02,AI Agent应用工程师,C/C++,1,1,1.0,4,1,0.25
2025-03,AI Agent应用工程师,C/C++,1,0,0.0,5,1,0.2
2025-04,AI Agent应用工程师,C/C++,1,0,0.0,6,1,0.166667
2025-05,AI Agent应用工程师,C/C++,1,0,0.0,7,1,0.142857
2025-07,AI Agent应用工程师,C/C++,1,0,0.0,8,1,0.125
2025-09,AI Agent应用工程师,C/C++,4,0,0.0,12,1,0.083333
2025-10,AI Agent应用工程师,C/C++,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,C/C++,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,C/C++,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,C/C++,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,C/C++,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,C/C++,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,C/C++,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,C/C++,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,C/C++,3,0,0.0,26,1,0.038462
2025-07,AI Agent应用工程师,CI/CD,1,1,1.0,8,1,0.125
2025-09,AI Agent应用工程师,CI/CD,4,0,0.0,12,1,0.083333
2025-10,AI Agent应用工程师,CI/CD,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,CI/CD,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,CI/CD,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,CI/CD,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,CI/CD,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,CI/CD,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,CI/CD,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,CI/CD,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,CI/CD,3,1,0.333333,26,2,0.076923
2025-03,AI Agent应用工程师,CSS,1,1,1.0,5,1,0.2
2025-04,AI Agent应用工程师,CSS,1,0,0.0,6,1,0.166667
2025-05,AI Agent应用工程师,CSS,1,0,0.0,7,1,0.142857
2025-07,AI Agent应用工程师,CSS,1,0,0.0,8,1,0.125
2025-09,AI Agent应用工程师,CSS,4,0,0.0,12,1,0.083333
2025-10,AI Agent应用工程师,CSS,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,CSS,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,CSS,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,CSS,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,CSS,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,CSS,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,CSS,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,CSS,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,CSS,3,0,0.0,26,1,0.038462
2026-03,AI Agent应用工程师,CUDA,2,1,0.5,20,1,0.05
2026-04,AI Agent应用工程师,CUDA,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,CUDA,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,CUDA,3,0,0.0,26,1,0.038462
2024-12,AI Agent应用工程师,ClickHouse,1,1,1.0,1,1,1.0
2025-01,AI Agent应用工程师,ClickHouse,2,0,0.0,3,1,0.333333
2025-02,AI Agent应用工程师,ClickHouse,1,0,0.0,4,1,0.25
2025-03,AI Agent应用工程师,ClickHouse,1,0,0.0,5,1,0.2
2025-04,AI Agent应用工程师,ClickHouse,1,0,0.0,6,1,0.166667
2025-05,AI Agent应用工程师,ClickHouse,1,0,0.0,7,1,0.142857
2025-07,AI Agent应用工程师,ClickHouse,1,0,0.0,8,1,0.125
2025-09,AI Agent应用工程师,ClickHouse,4,0,0.0,12,1,0.083333
2025-10,AI Agent应用工程师,ClickHouse,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,ClickHouse,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,ClickHouse,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,ClickHouse,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,ClickHouse,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,ClickHouse,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,ClickHouse,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,ClickHouse,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,ClickHouse,3,0,0.0,26,1,0.038462
2025-10,AI Agent应用工程师,Context Engineering,1,1,1.0,13,1,0.076923
2025-11,AI Agent应用工程师,Context Engineering,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,Context Engineering,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,Context Engineering,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,Context Engineering,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,Context Engineering,2,1,0.5,20,2,0.1
2026-04,AI Agent应用工程师,Context Engineering,1,0,0.0,21,2,0.095238
2026-05,AI Agent应用工程师,Context Engineering,2,1,0.5,23,3,0.130435
2026-07,AI Agent应用工程师,Context Engineering,3,1,0.333333,26,4,0.153846
2025-02,AI Agent应用工程师,Docker,1,1,1.0,4,1,0.25
2025-03,AI Agent应用工程师,Docker,1,0,0.0,5,1,0.2
2025-04,AI Agent应用工程师,Docker,1,0,0.0,6,1,0.166667
2025-05,AI Agent应用工程师,Docker,1,0,0.0,7,1,0.142857
2025-07,AI Agent应用工程师,Docker,1,0,0.0,8,1,0.125
2025-09,AI Agent应用工程师,Docker,4,1,0.25,12,2,0.166667
2025-10,AI Agent应用工程师,Docker,1,0,0.0,13,2,0.153846
2025-11,AI Agent应用工程师,Docker,1,0,0.0,14,2,0.142857
2025-12,AI Agent应用工程师,Docker,1,0,0.0,15,2,0.133333
2026-01,AI Agent应用工程师,Docker,2,0,0.0,17,2,0.117647
2026-02,AI Agent应用工程师,Docker,1,0,0.0,18,2,0.111111
2026-03,AI Agent应用工程师,Docker,2,0,0.0,20,2,0.1
2026-04,AI Agent应用工程师,Docker,1,0,0.0,21,2,0.095238
2026-05,AI Agent应用工程师,Docker,2,1,0.5,23,3,0.130435
2026-07,AI Agent应用工程师,Docker,3,0,0.0,26,3,0.115385
2025-09,AI Agent应用工程师,Embedding,4,1,0.25,12,1,0.083333
2025-10,AI Agent应用工程师,Embedding,1,0,0.0,13,1,0.076923
2025-11,AI Agent应用工程师,Embedding,1,0,0.0,14,1,0.071429
2025-12,AI Agent应用工程师,Embedding,1,0,0.0,15,1,0.066667
2026-01,AI Agent应用工程师,Embedding,2,0,0.0,17,1,0.058824
2026-02,AI Agent应用工程师,Embedding,1,0,0.0,18,1,0.055556
2026-03,AI Agent应用工程师,Embedding,2,0,0.0,20,1,0.05
2026-04,AI Agent应用工程师,Embedding,1,0,0.0,21,1,0.047619
2026-05,AI Agent应用工程师,Embedding,2,0,0.0,23,1,0.043478
2026-07,AI Agent应用工程师,Embedding,3,0,0.0,26,1,0.038462
