"job_id","month","job_title","government_agency","government_department","assigned_standard_category","assigned_standard_job","assignment_status","assignment_score","assignment_margin","matched_keywords_json","candidate_scores_json","assignment_reason"
"GOV-2024-002000-100210003001","2023-10","中直北戴河服务局信息管理岗位一级主任科员及以下","中央办公厅","中共中央直属机关事务管理局","政务信息化","政府信息化建设与管理岗","assigned","5","1","[{""field"": ""job_responsibility"", ""keywords"": [""信息化管理""], ""weight"": 5}]","[{""standard_job"": ""政府信息化建设与管理岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息化管理""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 4, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程"", ""网络工程"", ""信息安全""], ""weight"": 1}]}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""信息安全""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","llm_audited_approved"
"GOV-2024-002000-100210003010","2023-10","信息管理岗位一级主任科员及以下","中央办公厅","中共中央直属机关事务管理局","政务信息化","政府信息化建设与管理岗","assigned","5","1","[{""field"": ""job_responsibility"", ""keywords"": [""信息化管理""], ""weight"": 5}]","[{""standard_job"": ""政府信息化建设与管理岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息化管理""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 4, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程"", ""网络工程"", ""信息安全""], ""weight"": 1}]}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""信息安全""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","llm_audited_approved"
"GOV-2024-002000-100210004005","2023-10","计算机应用工作一级主任科员及以下","中央办公厅","老干部局","通用计算机技术","政府通用计算机技术岗","assigned","8","3","[{""field"": ""job_title"", ""keywords"": [""计算机应用""], ""weight"": 6}, {""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]","[{""standard_job"": ""政府通用计算机技术岗"", ""score"": 8, ""evidence"": [{""field"": ""job_title"", ""keywords"": [""计算机应用""], ""weight"": 6}, {""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府信息系统运维岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""系统维护""], ""weight"": 5}]}, {""standard_job"": ""政府信息化建设与管理岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息化建设""], ""weight"": 5}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-003000-100210007009","2023-10","信息化处一级主任科员及以下","中央档案馆国家档案局","中国第二历史档案馆","网络与安全","政府网络与数据安全岗","assigned","12","7","[{""field"": ""job_responsibility"", ""keywords"": [""数据安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""信息安全"", ""网络空间安全""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 12, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""数据安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""信息安全"", ""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府网络与通信运维岗"", ""score"": 5, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络维护""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 2, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""信息安全""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-009000-100110002001","2023-10","信息化管理","中央对外联络部","办公厅","政务信息化","政府信息化建设与管理岗","assigned","12","7","[{""field"": ""job_title"", ""keywords"": [""信息化管理""], ""weight"": 6}, {""field"": ""job_responsibility"", ""keywords"": [""信息化管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""信息化管理""], ""weight"": 1}]","[{""standard_job"": ""政府信息化建设与管理岗"", ""score"": 12, ""evidence"": [{""field"": ""job_title"", ""keywords"": [""信息化管理""], ""weight"": 6}, {""field"": ""job_responsibility"", ""keywords"": [""信息化管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""信息化管理""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 5, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程"", ""网络工程"", ""信息安全"", ""数据科学与大数据技术""], ""weight"": 1}]}, {""standard_job"": ""政府网络与数据安全岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""信息安全""], ""weight"": 1}]}, {""standard_job"": ""政府数据治理与统计分析岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""大数据""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-014000-100210101004","2023-10","业务处一级主任科员及以下（四）","中央网信办","网络安全应急指挥中心","网络与基础设施","政府网络与通信运维岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-042000-100310007001","2023-10","网络工作指导处一级主任科员及以下","全国总工会","网络工作部","政务信息化","政府信息化建设与管理岗","assigned","","","[]","[]","llm_audited_assignment"
"GOV-2024-042000-100310007002","2023-10","设备管理处一级主任科员及以下","全国总工会","网络工作部","网络与安全","政府网络与数据安全岗","assigned","6","5","[{""field"": ""job_responsibility"", ""keywords"": [""网络安全""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 6, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""网络安全""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-104000-200110015001","2023-10","制造业智能化处一级主任科员及以下","国家发展和改革委员会","产业发展司","智能化技术","政府智能化与自动化技术岗","assigned","11","10","[{""field"": ""job_title"", ""keywords"": [""智能化""], ""weight"": 6}, {""field"": ""job_responsibility"", ""keywords"": [""智能化""], ""weight"": 5}]","[{""standard_job"": ""政府智能化与自动化技术岗"", ""score"": 11, ""evidence"": [{""field"": ""job_title"", ""keywords"": [""智能化""], ""weight"": 6}, {""field"": ""job_responsibility"", ""keywords"": [""智能化""], ""weight"": 5}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府警务信息技术保障岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
"GOV-2024-107102-300110003001","2023-10","一级主任科员及以下","天津市通信管理局","网络安全管理处","网络与安全","政府网络与数据安全岗","assigned","11","4","[{""field"": ""job_responsibility"", ""keywords"": [""信息安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]","[{""standard_job"": ""政府网络与数据安全岗"", ""score"": 11, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息安全"", ""安全管理""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""网络空间安全""], ""weight"": 1}]}, {""standard_job"": ""政府通用计算机技术岗"", ""score"": 7, ""evidence"": [{""field"": ""job_responsibility"", ""keywords"": [""信息安全""], ""weight"": 5}, {""field"": ""job_requirement"", ""keywords"": [""计算机科学与技术"", ""软件工程""], ""weight"": 1}]}, {""standard_job"": ""政府通信电子技术岗"", ""score"": 1, ""evidence"": [{""field"": ""job_requirement"", ""keywords"": [""通信工程""], ""weight"": 1}]}, {""standard_job"": ""政府电子数据取证与情报技术岗"", ""score"": 0, ""evidence"": []}, {""standard_job"": ""政府信息化审计岗"", ""score"": 0, ""evidence"": []}]","seed taxonomy keyword rule"
