standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,source_month,source_type,profile_generated_at
政府人工智能专利审查与技术监管岗,人工智能,智能化技术,1,1,1.0,1,1,1.0,稳定核心技能,1,1,2024-10,system,2026-08-06T03:30:36+00:00
政府人工智能专利审查与技术监管岗,信息安全,网络与安全,1,1,1.0,1,1,1.0,稳定核心技能,1,2,2024-10,system,2026-08-06T03:30:36+00:00
政府人工智能专利审查与技术监管岗,密码技术,网络与安全,1,1,1.0,1,1,1.0,稳定核心技能,1,3,2024-10,system,2026-08-06T03:30:36+00:00
政府人工智能专利审查与技术监管岗,数据科学与大数据技术,数据与统计,1,1,1.0,1,1,1.0,稳定核心技能,1,4,2024-10,system,2026-08-06T03:30:36+00:00
政府人工智能专利审查与技术监管岗,物联网工程,智能化技术,1,1,1.0,1,1,1.0,稳定核心技能,1,5,2024-10,system,2026-08-06T03:30:36+00:00
政府人工智能专利审查与技术监管岗,计算机科学与技术,计算机基础,1,1,1.0,1,1,1.0,稳定核心技能,1,6,2024-10,system,2026-08-06T03:30:36+00:00
政府人工智能专利审查与技术监管岗,软件工程,软件工程,1,1,1.0,1,1,1.0,稳定核心技能,1,7,2024-10,system,2026-08-06T03:30:36+00:00
政府信息化审计岗,数据科学与大数据技术,数据与统计,1,1,1.0,2,1,0.5,稳定核心技能,1,1,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化审计岗,电子信息,通信与电子技术,1,1,1.0,2,1,0.5,稳定核心技能,1,2,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化审计岗,统计学,数据与统计,1,1,1.0,2,1,0.5,稳定核心技能,1,3,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,计算机科学与技术,计算机基础,73,72,0.986301,215,191,0.888372,稳定核心技能,1,1,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,电子信息,通信与电子技术,73,62,0.849315,215,157,0.730233,稳定核心技能,1,2,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,信息化建设,政务信息化,73,19,0.260274,215,39,0.181395,当月活跃技能,0,3,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,软件工程,软件工程,73,19,0.260274,215,62,0.288372,稳定核心技能,1,4,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,人工智能,智能化技术,73,11,0.150685,215,26,0.12093,当月活跃技能,0,5,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,网络空间安全,网络与安全,73,11,0.150685,215,31,0.144186,当月活跃技能,0,6,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,数据科学与大数据技术,数据与统计,73,10,0.136986,215,27,0.125581,当月活跃技能,0,7,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,信息安全,网络与安全,73,8,0.109589,215,29,0.134884,当月活跃技能,0,8,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,通信工程,通信与电子技术,73,5,0.068493,215,26,0.12093,当月活跃技能,0,9,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,信息系统,政务信息化,73,3,0.041096,215,11,0.051163,当月活跃技能,0,10,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,统计学,数据与统计,73,2,0.027397,215,7,0.032558,当月活跃技能,0,11,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,统计分析,数据与统计,73,1,0.013699,215,1,0.004651,当月活跃技能,0,12,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,网络工程,网络与基础设施,73,1,0.013699,215,21,0.097674,当月活跃技能,0,13,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,自动化,智能化技术,73,1,0.013699,215,15,0.069767,当月活跃技能,0,14,2025-10,system,2026-08-06T03:30:36+00:00
政府信息化建设与管理岗,遥感技术,空间信息技术,73,1,0.013699,215,2,0.009302,当月活跃技能,0,15,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,电子信息,通信与电子技术,4,3,0.75,22,18,0.818182,稳定核心技能,1,1,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,计算机科学与技术,计算机基础,4,3,0.75,22,19,0.863636,稳定核心技能,1,2,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,软件工程,软件工程,4,3,0.75,22,20,0.909091,稳定核心技能,1,3,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,通信工程,通信与电子技术,4,3,0.75,22,18,0.818182,稳定核心技能,1,4,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,网络空间安全,网络与安全,4,2,0.5,22,9,0.409091,稳定核心技能,1,5,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,人工智能,智能化技术,4,1,0.25,22,1,0.045455,当月活跃技能,0,6,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,信息安全,网络与安全,4,1,0.25,22,2,0.090909,当月活跃技能,0,7,2025-10,system,2026-08-06T03:30:36+00:00
政府信息系统开发岗,数据科学与大数据技术,数据与统计,4,1,0.25,22,1,0.045455,当月活跃技能,0,8,2025-10,system,2026-08-06T03:30:36+00:00
