standard_job,from_month,to_month,skill,kg_display_skill,change_type,from_monthly_jd_count,to_monthly_jd_count,from_monthly_skill_count,to_monthly_skill_count,from_monthly_skill_frequency,to_monthly_skill_frequency,frequency_delta,frequency_delta_ratio,from_cumulative_skill_count,to_cumulative_skill_count,from_cumulative_skill_frequency,to_cumulative_skill_frequency,is_stable_core,updated_at
政府信息化审计岗,2023-10,2025-10,数据科学与大数据技术,数据与统计,新增技能,1,1,0,1,0.0,1.0,1.0,1.0,0,1,0.0,0.5,0,2026-08-06T03:30:35+00:00
政府信息化审计岗,2023-10,2025-10,电子信息,通信与电子技术,新增技能,1,1,0,1,0.0,1.0,1.0,1.0,0,1,0.0,0.5,0,2026-08-06T03:30:35+00:00
政府信息化审计岗,2023-10,2025-10,统计学,数据与统计,新增技能,1,1,0,1,0.0,1.0,1.0,1.0,0,1,0.0,0.5,0,2026-08-06T03:30:35+00:00
政府信息化审计岗,2023-10,2025-10,计算机科学与技术,计算机基础,消失技能,1,1,1,0,1.0,0.0,-1.0,-1.0,1,1,1.0,0.5,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,遥感技术,空间信息技术,新增技能,86,56,0,1,0.0,0.017857,0.017857,1.0,0,1,0.0,0.007042,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,信息管理与信息系统,政务信息化,消失技能,86,56,4,0,0.046512,0.0,-0.046512,-1.0,4,4,0.046512,0.028169,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,信息系统,政务信息化,消失技能,86,56,8,0,0.093023,0.0,-0.093023,-1.0,8,8,0.093023,0.056338,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,大数据管理与应用,政务信息化,消失技能,86,56,3,0,0.034884,0.0,-0.034884,-1.0,3,3,0.034884,0.021127,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,数据管理,数据与统计,消失技能,86,56,3,0,0.034884,0.0,-0.034884,-1.0,3,3,0.034884,0.021127,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,数据计算及应用,数据与统计,消失技能,86,56,2,0,0.023256,0.0,-0.023256,-1.0,2,2,0.023256,0.014085,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,电子信息工程,通信与电子技术,消失技能,86,56,6,0,0.069767,0.0,-0.069767,-1.0,6,6,0.069767,0.042254,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,统计学,数据与统计,消失技能,86,56,5,0,0.05814,0.0,-0.05814,-1.0,5,5,0.05814,0.035211,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,信息化建设,政务信息化,频率上升技能,86,56,6,14,0.069767,0.25,0.180233,2.583356,6,20,0.069767,0.140845,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,电子信息,通信与电子技术,频率上升技能,86,56,49,46,0.569767,0.821429,0.251662,0.441693,49,95,0.569767,0.669014,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,计算机科学与技术,计算机基础,频率上升技能,86,56,68,51,0.790698,0.910714,0.120016,0.151785,68,119,0.790698,0.838028,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,信息安全,网络与安全,频率下降技能,86,56,18,3,0.209302,0.053571,-0.155731,-0.744049,18,21,0.209302,0.147887,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2024-10,网络工程,网络与基础设施,频率下降技能,86,56,17,3,0.197674,0.053571,-0.144103,-0.728993,17,20,0.197674,0.140845,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2025-10,统计分析,数据与统计,新增技能,86,73,0,1,0.0,0.013699,0.013699,1.0,0,1,0.0,0.004651,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2025-10,遥感技术,空间信息技术,新增技能,86,73,0,1,0.0,0.013699,0.013699,1.0,0,2,0.0,0.009302,0,2026-08-06T03:30:35+00:00
政府信息化建设与管理岗,2023-10,2025-10,信息管理与信息系统,政务信息化,消失技能,86,73,4,0,0.046512,0.0,-0.046512,-1.0,4,4,0.046512,0.018605,0,2026-08-06T03:30:35+00:00
