month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2024-10,政府人工智能专利审查与技术监管岗,人工智能,智能化技术,1,1,1.0,1,1,1.0,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,信息安全,网络与安全,1,1,1.0,1,1,1.0,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,密码技术,网络与安全,1,1,1.0,1,1,1.0,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,数据科学与大数据技术,数据与统计,1,1,1.0,1,1,1.0,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,物联网工程,智能化技术,1,1,1.0,1,1,1.0,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,计算机科学与技术,计算机基础,1,1,1.0,1,1,1.0,稳定核心技能,1,6,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,软件工程,软件工程,1,1,1.0,1,1,1.0,稳定核心技能,1,7,2026-08-06T03:30:35+00:00
2023-10,政府信息化审计岗,计算机科学与技术,计算机基础,1,1,1.0,1,1,1.0,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,数据科学与大数据技术,数据与统计,1,1,1.0,2,1,0.5,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,电子信息,通信与电子技术,1,1,1.0,2,1,0.5,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,统计学,数据与统计,1,1,1.0,2,1,0.5,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,计算机科学与技术,计算机基础,1,0,0.0,2,1,0.5,当月未出现,0,,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,人工智能,智能化技术,86,9,0.104651,86,9,0.104651,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,信息化建设,政务信息化,86,6,0.069767,86,6,0.069767,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,信息安全,网络与安全,86,18,0.209302,86,18,0.209302,当月活跃技能,0,4,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,信息管理与信息系统,政务信息化,86,4,0.046512,86,4,0.046512,当月活跃技能,0,16,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,信息系统,政务信息化,86,8,0.093023,86,8,0.093023,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,大数据管理与应用,政务信息化,86,3,0.034884,86,3,0.034884,当月活跃技能,0,17,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,密码技术,网络与安全,86,3,0.034884,86,3,0.034884,当月活跃技能,0,18,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,数据科学与大数据技术,数据与统计,86,13,0.151163,86,13,0.151163,当月活跃技能,0,6,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,数据管理,数据与统计,86,3,0.034884,86,3,0.034884,当月活跃技能,0,19,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,数据计算及应用,数据与统计,86,2,0.023256,86,2,0.023256,当月活跃技能,0,20,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,物联网工程,智能化技术,86,6,0.069767,86,6,0.069767,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,电子信息,通信与电子技术,86,49,0.569767,86,49,0.569767,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,电子信息工程,通信与电子技术,86,6,0.069767,86,6,0.069767,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,统计学,数据与统计,86,5,0.05814,86,5,0.05814,当月活跃技能,0,15,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,网络工程,网络与基础设施,86,17,0.197674,86,17,0.197674,当月活跃技能,0,5,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,网络空间安全,网络与安全,86,13,0.151163,86,13,0.151163,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,自动化,智能化技术,86,10,0.116279,86,10,0.116279,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,计算机科学与技术,计算机基础,86,68,0.790698,86,68,0.790698,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,软件工程,软件工程,86,28,0.325581,86,28,0.325581,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2023-10,政府信息化建设与管理岗,通信工程,通信与电子技术,86,13,0.151163,86,13,0.151163,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,人工智能,智能化技术,56,6,0.107143,142,15,0.105634,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
