month,standard_job,skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency
2024-10,政府人工智能专利审查与技术监管岗,人工智能,1,1,1.0,1,1,1.0
2024-10,政府人工智能专利审查与技术监管岗,信息安全,1,1,1.0,1,1,1.0
2024-10,政府人工智能专利审查与技术监管岗,密码技术,1,1,1.0,1,1,1.0
2024-10,政府人工智能专利审查与技术监管岗,数据科学与大数据技术,1,1,1.0,1,1,1.0
2024-10,政府人工智能专利审查与技术监管岗,物联网工程,1,1,1.0,1,1,1.0
2024-10,政府人工智能专利审查与技术监管岗,计算机科学与技术,1,1,1.0,1,1,1.0
2024-10,政府人工智能专利审查与技术监管岗,软件工程,1,1,1.0,1,1,1.0
2025-10,政府信息化审计岗,数据科学与大数据技术,1,1,1.0,2,1,0.5
2025-10,政府信息化审计岗,电子信息,1,1,1.0,2,1,0.5
2025-10,政府信息化审计岗,统计学,1,1,1.0,2,1,0.5
2023-10,政府信息化审计岗,计算机科学与技术,1,1,1.0,1,1,1.0
2025-10,政府信息化审计岗,计算机科学与技术,1,0,0.0,2,1,0.5
2023-10,政府信息化建设与管理岗,人工智能,86,9,0.104651,86,9,0.104651
2024-10,政府信息化建设与管理岗,人工智能,56,6,0.107143,142,15,0.105634
2025-10,政府信息化建设与管理岗,人工智能,73,11,0.150685,215,26,0.12093
2023-10,政府信息化建设与管理岗,信息化建设,86,6,0.069767,86,6,0.069767
2024-10,政府信息化建设与管理岗,信息化建设,56,14,0.25,142,20,0.140845
2025-10,政府信息化建设与管理岗,信息化建设,73,19,0.260274,215,39,0.181395
2023-10,政府信息化建设与管理岗,信息安全,86,18,0.209302,86,18,0.209302
2024-10,政府信息化建设与管理岗,信息安全,56,3,0.053571,142,21,0.147887
2025-10,政府信息化建设与管理岗,信息安全,73,8,0.109589,215,29,0.134884
2023-10,政府信息化建设与管理岗,信息管理与信息系统,86,4,0.046512,86,4,0.046512
2024-10,政府信息化建设与管理岗,信息管理与信息系统,56,0,0.0,142,4,0.028169
2025-10,政府信息化建设与管理岗,信息管理与信息系统,73,0,0.0,215,4,0.018605
2023-10,政府信息化建设与管理岗,信息系统,86,8,0.093023,86,8,0.093023
2024-10,政府信息化建设与管理岗,信息系统,56,0,0.0,142,8,0.056338
2025-10,政府信息化建设与管理岗,信息系统,73,3,0.041096,215,11,0.051163
2023-10,政府信息化建设与管理岗,大数据管理与应用,86,3,0.034884,86,3,0.034884
2024-10,政府信息化建设与管理岗,大数据管理与应用,56,0,0.0,142,3,0.021127
2025-10,政府信息化建设与管理岗,大数据管理与应用,73,0,0.0,215,3,0.013953
2023-10,政府信息化建设与管理岗,密码技术,86,3,0.034884,86,3,0.034884
2024-10,政府信息化建设与管理岗,密码技术,56,1,0.017857,142,4,0.028169
2025-10,政府信息化建设与管理岗,密码技术,73,0,0.0,215,4,0.018605
2023-10,政府信息化建设与管理岗,数据科学与大数据技术,86,13,0.151163,86,13,0.151163
2024-10,政府信息化建设与管理岗,数据科学与大数据技术,56,4,0.071429,142,17,0.119718
2025-10,政府信息化建设与管理岗,数据科学与大数据技术,73,10,0.136986,215,27,0.125581
2023-10,政府信息化建设与管理岗,数据管理,86,3,0.034884,86,3,0.034884
2024-10,政府信息化建设与管理岗,数据管理,56,0,0.0,142,3,0.021127
2025-10,政府信息化建设与管理岗,数据管理,73,0,0.0,215,3,0.013953
2023-10,政府信息化建设与管理岗,数据计算及应用,86,2,0.023256,86,2,0.023256
2024-10,政府信息化建设与管理岗,数据计算及应用,56,0,0.0,142,2,0.014085
2025-10,政府信息化建设与管理岗,数据计算及应用,73,0,0.0,215,2,0.009302
2023-10,政府信息化建设与管理岗,物联网工程,86,6,0.069767,86,6,0.069767
2024-10,政府信息化建设与管理岗,物联网工程,56,1,0.017857,142,7,0.049296
2025-10,政府信息化建设与管理岗,物联网工程,73,0,0.0,215,7,0.032558
2023-10,政府信息化建设与管理岗,电子信息,86,49,0.569767,86,49,0.569767
2024-10,政府信息化建设与管理岗,电子信息,56,46,0.821429,142,95,0.669014
2025-10,政府信息化建设与管理岗,电子信息,73,62,0.849315,215,157,0.730233
2023-10,政府信息化建设与管理岗,电子信息工程,86,6,0.069767,86,6,0.069767
2024-10,政府信息化建设与管理岗,电子信息工程,56,0,0.0,142,6,0.042254
2025-10,政府信息化建设与管理岗,电子信息工程,73,0,0.0,215,6,0.027907
2025-10,政府信息化建设与管理岗,统计分析,73,1,0.013699,215,1,0.004651
2023-10,政府信息化建设与管理岗,统计学,86,5,0.05814,86,5,0.05814
2024-10,政府信息化建设与管理岗,统计学,56,0,0.0,142,5,0.035211
2025-10,政府信息化建设与管理岗,统计学,73,2,0.027397,215,7,0.032558
2023-10,政府信息化建设与管理岗,网络工程,86,17,0.197674,86,17,0.197674
2024-10,政府信息化建设与管理岗,网络工程,56,3,0.053571,142,20,0.140845
2025-10,政府信息化建设与管理岗,网络工程,73,1,0.013699,215,21,0.097674
2023-10,政府信息化建设与管理岗,网络空间安全,86,13,0.151163,86,13,0.151163
2024-10,政府信息化建设与管理岗,网络空间安全,56,7,0.125,142,20,0.140845
2025-10,政府信息化建设与管理岗,网络空间安全,73,11,0.150685,215,31,0.144186
2023-10,政府信息化建设与管理岗,自动化,86,10,0.116279,86,10,0.116279
2024-10,政府信息化建设与管理岗,自动化,56,4,0.071429,142,14,0.098592
2025-10,政府信息化建设与管理岗,自动化,73,1,0.013699,215,15,0.069767
2023-10,政府信息化建设与管理岗,计算机科学与技术,86,68,0.790698,86,68,0.790698
2024-10,政府信息化建设与管理岗,计算机科学与技术,56,51,0.910714,142,119,0.838028
2025-10,政府信息化建设与管理岗,计算机科学与技术,73,72,0.986301,215,191,0.888372
2023-10,政府信息化建设与管理岗,软件工程,86,28,0.325581,86,28,0.325581
2024-10,政府信息化建设与管理岗,软件工程,56,15,0.267857,142,43,0.302817
2025-10,政府信息化建设与管理岗,软件工程,73,19,0.260274,215,62,0.288372
2023-10,政府信息化建设与管理岗,通信工程,86,13,0.151163,86,13,0.151163
2024-10,政府信息化建设与管理岗,通信工程,56,8,0.142857,142,21,0.147887
2025-10,政府信息化建设与管理岗,通信工程,73,5,0.068493,215,26,0.12093
2024-10,政府信息化建设与管理岗,遥感技术,56,1,0.017857,142,1,0.007042
2025-10,政府信息化建设与管理岗,遥感技术,73,1,0.013699,215,2,0.009302
2025-10,政府信息系统开发岗,人工智能,4,1,0.25,22,1,0.045455
2024-10,政府信息系统开发岗,信息安全,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,信息安全,4,1,0.25,22,2,0.090909
2024-10,政府信息系统开发岗,信息管理与信息系统,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,信息管理与信息系统,4,0,0.0,22,1,0.045455
2023-10,政府信息系统开发岗,信息系统,5,2,0.4,5,2,0.4
2024-10,政府信息系统开发岗,信息系统,13,3,0.230769,18,5,0.277778
2025-10,政府信息系统开发岗,信息系统,4,0,0.0,22,5,0.227273
2024-10,政府信息系统开发岗,大数据管理与应用,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,大数据管理与应用,4,0,0.0,22,1,0.045455
2024-10,政府信息系统开发岗,数据分析,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,数据分析,4,0,0.0,22,1,0.045455
2025-10,政府信息系统开发岗,数据科学与大数据技术,4,1,0.25,22,1,0.045455
2024-10,政府信息系统开发岗,数据管理,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,数据管理,4,0,0.0,22,1,0.045455
2023-10,政府信息系统开发岗,电子信息,5,5,1.0,5,5,1.0
2024-10,政府信息系统开发岗,电子信息,13,10,0.769231,18,15,0.833333
2025-10,政府信息系统开发岗,电子信息,4,3,0.75,22,18,0.818182
2024-10,政府信息系统开发岗,电子信息工程,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,电子信息工程,4,1,0.25,22,2,0.090909
2025-10,政府信息系统开发岗,系统运维,4,1,0.25,22,1,0.045455
2024-10,政府信息系统开发岗,统计学,13,1,0.076923,18,1,0.055556
2025-10,政府信息系统开发岗,统计学,4,0,0.0,22,1,0.045455
