month,skill,kg_display_skill,standard_job,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,job_first_seen_month,skill_first_seen_month,months_since_skill_first_seen,is_first_seen_job,is_new_job_for_skill,covered_job_count_this_month,cumulative_covered_job_count,monthly_frequency_change,cumulative_frequency_change,is_left_censored,updated_at
2024-10,人工智能,智能化技术,政府人工智能专利审查与技术监管岗,1,1,1.0,1,1,1.0,2024-10,2023-10,12,0,1,9,10,1.0,1.0,1,2026-08-06T03:30:35+00:00
2023-10,人工智能,智能化技术,政府信息化建设与管理岗,86,9,0.104651,86,9,0.104651,2023-10,2023-10,0,1,1,7,7,0.104651,0.104651,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府信息化建设与管理岗,56,6,0.107143,142,15,0.105634,2023-10,2023-10,12,1,0,9,10,0.002492,0.000983,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府信息化建设与管理岗,73,11,0.150685,215,26,0.12093,2023-10,2023-10,24,1,0,11,12,0.043542,0.015296,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府信息系统开发岗,4,1,0.25,22,1,0.045455,2025-10,2023-10,24,0,1,11,12,0.25,0.045455,1,2026-08-06T03:30:35+00:00
2023-10,人工智能,智能化技术,政府信息系统运维岗,109,2,0.018349,109,2,0.018349,2023-10,2023-10,0,1,1,7,7,0.018349,0.018349,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府信息系统运维岗,246,1,0.004065,355,3,0.008451,2023-10,2023-10,12,1,0,9,10,-0.014284,-0.009898,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府信息系统运维岗,230,23,0.1,585,26,0.044444,2023-10,2023-10,24,1,0,11,12,0.095935,0.035993,1,2026-08-06T03:30:35+00:00
2023-10,人工智能,智能化技术,政府数字监管与科技执法岗,34,8,0.235294,34,8,0.235294,2023-10,2023-10,0,1,1,7,7,0.235294,0.235294,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府数字监管与科技执法岗,36,12,0.333333,70,20,0.285714,2023-10,2023-10,12,1,0,9,10,0.098039,0.05042,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府数字监管与科技执法岗,39,26,0.666667,109,46,0.422018,2023-10,2023-10,24,1,0,11,12,0.333334,0.136304,1,2026-08-06T03:30:35+00:00
2023-10,人工智能,智能化技术,政府数据治理与统计分析岗,631,26,0.041204,631,26,0.041204,2023-10,2023-10,0,1,1,7,7,0.041204,0.041204,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府数据治理与统计分析岗,638,25,0.039185,1269,51,0.040189,2023-10,2023-10,12,1,0,9,10,-0.002019,-0.001015,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府数据治理与统计分析岗,408,26,0.063725,1677,77,0.045915,2023-10,2023-10,24,1,0,11,12,0.02454,0.005726,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府智能化与自动化技术岗,6,5,0.833333,10,5,0.5,2024-10,2023-10,12,0,1,9,10,0.833333,0.5,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府智能化与自动化技术岗,6,5,0.833333,16,10,0.625,2024-10,2023-10,24,0,0,11,12,0.0,0.125,1,2026-08-06T03:30:35+00:00
2023-10,人工智能,智能化技术,政府网络与数据安全岗,38,2,0.052632,38,2,0.052632,2023-10,2023-10,0,1,1,7,7,0.052632,0.052632,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府网络与数据安全岗,44,6,0.136364,82,8,0.097561,2023-10,2023-10,12,1,0,9,10,0.083732,0.044929,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府网络与数据安全岗,26,2,0.076923,108,10,0.092593,2023-10,2023-10,24,1,0,11,12,-0.059441,-0.004968,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府网络与通信运维岗,11,5,0.454545,32,5,0.15625,2025-10,2023-10,24,0,1,11,12,0.454545,0.15625,1,2026-08-06T03:30:35+00:00
2023-10,人工智能,智能化技术,政府警务信息技术保障岗,40,1,0.025,40,1,0.025,2023-10,2023-10,0,1,1,7,7,0.025,0.025,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府警务信息技术保障岗,24,0,0.0,64,1,0.015625,2023-10,2023-10,12,1,0,9,10,-0.025,-0.009375,1,2026-08-06T03:30:35+00:00
2025-10,人工智能,智能化技术,政府警务信息技术保障岗,24,5,0.208333,88,6,0.068182,2023-10,2023-10,24,1,0,11,12,0.208333,0.052557,1,2026-08-06T03:30:35+00:00
2024-10,人工智能,智能化技术,政府通信电子技术岗,11,1,0.090909,18,1,0.055556,2024-10,2023-10,12,0,1,9,10,0.090909,0.055556,1,2026-08-06T03:30:35+00:00
