month,standard_job,skill,kg_display_skill,lifecycle_status,first_seen_month,last_seen_month,age_months,months_since_last_seen,current_monthly_skill_count,current_monthly_skill_frequency,cumulative_skill_count,cumulative_skill_frequency,recent_3m_skill_count,recent_6m_skill_count,recent_3m_active_months,recent_6m_active_months,prev_3m_skill_count,prev_6m_skill_count,mom_frequency_change,recent_3m_vs_prev_3m_change,recent_6m_frequency_stddev,covered_job_count,recent_3m_covered_job_count,prev_3m_covered_job_count,recent_3m_covered_job_count_change,lifecycle_reason,updated_at
2024-10,政府人工智能专利审查与技术监管岗,人工智能,智能化技术,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,信息安全,网络与安全,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,密码技术,网络与安全,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,数据科学与大数据技术,数据与统计,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,物联网工程,智能化技术,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,计算机科学与技术,计算机基础,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2024-10,政府人工智能专利审查与技术监管岗,软件工程,软件工程,新兴技能,2024-10,2024-10,1,0,1,1.0,1,1.0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,数据科学与大数据技术,数据与统计,新兴技能,2025-10,2025-10,1,0,1,1.0,1,0.5,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,电子信息,通信与电子技术,新兴技能,2025-10,2025-10,1,0,1,1.0,1,0.5,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
2025-10,政府信息化审计岗,统计学,数据与统计,新兴技能,2025-10,2025-10,1,0,1,1.0,1,0.5,1,1,1,1,0,0,0.0,0.0,0.0,0,0,0,0,first appeared in the latest annual recruitment cycle; government metrics use observed annual recruitment cycles,2026-08-06T03:30:35+00:00
