skill,kg_display_skill,skill_type,confirmation_min_job_mentions,first_seen_month,first_seen_standard_jobs,first_seen_job_count,is_left_censored,migration_confidence,migration_interpretation,latest_seen_month,latest_covered_job_count,cumulative_covered_job_count,spread_job_count,spread_standard_jobs,all_standard_jobs,confirmed_first_seen_month,confirmed_first_seen_standard_jobs,confirmed_first_seen_job_count,confirmed_cumulative_covered_job_count,confirmed_spread_job_count,confirmed_spread_standard_jobs,confirmed_migration_path,peak_monthly_covered_job_count,peak_monthly_covered_job_month,total_skill_mentions,migration_path,updated_at
人工智能,智能化技术,,2,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,7,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,11,12,5,政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗; 政府信息系统开发岗; 政府网络与通信运维岗,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗; 政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗; 政府信息系统开发岗; 政府网络与通信运维岗,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府通用计算机技术岗,6,10,4,政府智能化与自动化技术岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府通用计算机技术岗 -> 2024-10: 政府智能化与自动化技术岗 -> 2025-10: 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通信电子技术岗,11,2025-10,224,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府人工智能专利审查与技术监管岗; 政府智能化与自动化技术岗; 政府通信电子技术岗 -> 2025-10: 政府信息系统开发岗; 政府网络与通信运维岗,2026-08-06T03:30:35+00:00
信息化建设,政务信息化,,2,2023-10,政府信息化建设与管理岗; 政府数据治理与统计分析岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通用计算机技术岗,5,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,3,6,1,政府信息系统运维岗,政府信息化建设与管理岗; 政府数据治理与统计分析岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通用计算机技术岗; 政府信息系统运维岗,2023-10,政府信息化建设与管理岗; 政府数据治理与统计分析岗,2,3,1,政府网络与数据安全岗,2023-10: 政府信息化建设与管理岗; 政府数据治理与统计分析岗 -> 2024-10: 政府网络与数据安全岗,5,2023-10,99,2023-10: 政府信息化建设与管理岗; 政府数据治理与统计分析岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通用计算机技术岗 -> 2025-10: 政府信息系统运维岗,2026-08-06T03:30:35+00:00
信息安全,网络与安全,,2,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,8,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,11,13,5,政府人工智能专利审查与技术监管岗; 政府信息系统开发岗; 政府通信电子技术岗; 政府智能化与自动化技术岗; 政府电子数据取证与情报技术岗,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗; 政府人工智能专利审查与技术监管岗; 政府信息系统开发岗; 政府通信电子技术岗; 政府智能化与自动化技术岗; 政府电子数据取证与情报技术岗,2023-10,政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗,8,11,3,政府通信电子技术岗; 政府信息系统开发岗; 政府电子数据取证与情报技术岗,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府通信电子技术岗 -> 2025-10: 政府信息系统开发岗; 政府电子数据取证与情报技术岗,11,2025-10,616,2023-10: 政府信息化建设与管理岗; 政府信息系统运维岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府通用计算机技术岗 -> 2024-10: 政府人工智能专利审查与技术监管岗; 政府信息系统开发岗; 政府通信电子技术岗 -> 2025-10: 政府智能化与自动化技术岗; 政府电子数据取证与情报技术岗,2026-08-06T03:30:35+00:00
信息管理与信息系统,政务信息化,,2,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,2,7,3,政府信息系统开发岗; 政府网络与通信运维岗; 政府信息系统运维岗,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗; 政府信息系统开发岗; 政府网络与通信运维岗; 政府信息系统运维岗,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗,3,6,3,政府网络与通信运维岗; 政府通用计算机技术岗; 政府信息系统运维岗,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗 -> 2024-10: 政府网络与通信运维岗; 政府通用计算机技术岗 -> 2025-10: 政府信息系统运维岗,5,2024-10,109,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府通用计算机技术岗 -> 2024-10: 政府信息系统开发岗; 政府网络与通信运维岗 -> 2025-10: 政府信息系统运维岗,2026-08-06T03:30:35+00:00
信息系统,政务信息化,,2,2023-10,政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府地理信息与空间数据技术岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通信电子技术岗; 政府通用计算机技术岗,10,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,6,11,1,政府智能化与自动化技术岗,政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府地理信息与空间数据技术岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通信电子技术岗; 政府通用计算机技术岗; 政府智能化与自动化技术岗,2023-10,政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府地理信息与空间数据技术岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通用计算机技术岗,9,9,0,,2023-10: 政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府地理信息与空间数据技术岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通用计算机技术岗,10,2023-10,764,2023-10: 政府信息化建设与管理岗; 政府信息系统开发岗; 政府信息系统运维岗; 政府地理信息与空间数据技术岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府网络与通信运维岗; 政府通信电子技术岗; 政府通用计算机技术岗 -> 2025-10: 政府智能化与自动化技术岗,2026-08-06T03:30:35+00:00
地理信息系统,空间信息技术,,2,2023-10,政府地理信息与空间数据技术岗; 政府数据治理与统计分析岗; 政府通信电子技术岗,3,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,2,4,1,政府智能化与自动化技术岗,政府地理信息与空间数据技术岗; 政府数据治理与统计分析岗; 政府通信电子技术岗; 政府智能化与自动化技术岗,2023-10,政府地理信息与空间数据技术岗,1,2,1,政府数据治理与统计分析岗,2023-10: 政府地理信息与空间数据技术岗 -> 2024-10: 政府数据治理与统计分析岗,3,2023-10,17,2023-10: 政府地理信息与空间数据技术岗; 政府数据治理与统计分析岗; 政府通信电子技术岗 -> 2025-10: 政府智能化与自动化技术岗,2026-08-06T03:30:35+00:00
大数据管理与应用,政务信息化,,2,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,4,8,4,政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与通信运维岗; 政府信息系统运维岗,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗; 政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与通信运维岗; 政府信息系统运维岗,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗,3,6,3,政府网络与通信运维岗; 政府信息系统运维岗; 政府警务信息技术保障岗,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗 -> 2024-10: 政府网络与通信运维岗 -> 2025-10: 政府信息系统运维岗; 政府警务信息技术保障岗,5,2024-10,165,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府警务信息技术保障岗 -> 2024-10: 政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与通信运维岗 -> 2025-10: 政府信息系统运维岗,2026-08-06T03:30:35+00:00
密码技术,网络与安全,,2,2023-10,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗,3,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,4,7,4,政府人工智能专利审查与技术监管岗; 政府网络与数据安全岗; 政府通用计算机技术岗; 政府警务信息技术保障岗,政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府人工智能专利审查与技术监管岗; 政府网络与数据安全岗; 政府通用计算机技术岗; 政府警务信息技术保障岗,2023-10,政府信息化建设与管理岗,1,4,3,政府数据治理与统计分析岗; 政府网络与数据安全岗; 政府通用计算机技术岗,2023-10: 政府信息化建设与管理岗 -> 2024-10: 政府数据治理与统计分析岗; 政府网络与数据安全岗 -> 2025-10: 政府通用计算机技术岗,5,2024-10,37,2023-10: 政府信息化建设与管理岗; 政府数字监管与科技执法岗; 政府数据治理与统计分析岗 -> 2024-10: 政府人工智能专利审查与技术监管岗; 政府网络与数据安全岗; 政府通用计算机技术岗 -> 2025-10: 政府警务信息技术保障岗,2026-08-06T03:30:35+00:00
情报技术,政法信息技术,,2,2023-10,政府电子数据取证与情报技术岗,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2025-10,2,2,1,政府数据治理与统计分析岗,政府电子数据取证与情报技术岗; 政府数据治理与统计分析岗,2025-10,政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗,2,2,0,,2025-10: 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗,2,2025-10,5,2023-10: 政府电子数据取证与情报技术岗 -> 2024-10: 政府数据治理与统计分析岗,2026-08-06T03:30:35+00:00
数据分析,数据与统计,,2,2023-10,政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与通信运维岗; 政府警务信息技术保障岗,5,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2025-10,6,10,5,政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通用计算机技术岗; 政府信息系统运维岗,政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与通信运维岗; 政府警务信息技术保障岗; 政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通用计算机技术岗; 政府信息系统运维岗,2023-10,政府数据治理与统计分析岗; 政府网络与通信运维岗; 政府警务信息技术保障岗,3,8,5,政府数字监管与科技执法岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗; 政府信息系统运维岗; 政府通用计算机技术岗,2023-10: 政府数据治理与统计分析岗; 政府网络与通信运维岗; 政府警务信息技术保障岗 -> 2024-10: 政府数字监管与科技执法岗; 政府电子数据取证与情报技术岗; 政府网络与数据安全岗 -> 2025-10: 政府信息系统运维岗; 政府通用计算机技术岗,8,2024-10,361,2023-10: 政府数字监管与科技执法岗; 政府数据治理与统计分析岗; 政府电子数据取证与情报技术岗; 政府网络与通信运维岗; 政府警务信息技术保障岗 -> 2024-10: 政府信息系统开发岗; 政府智能化与自动化技术岗; 政府网络与数据安全岗; 政府通用计算机技术岗 -> 2025-10: 政府信息系统运维岗,2026-08-06T03:30:35+00:00
