skill_keyword,normalized_skill,kg_display_skill
计算机科学与技术,计算机科学与技术,计算机基础
计算机类,计算机科学与技术,计算机基础
计算机技术,计算机科学与技术,计算机基础
软件工程,软件工程,软件工程
软件开发,软件工程,软件工程
软件设计,软件工程,软件工程
信息系统,信息系统,政务信息化
信息化系统,信息系统,政务信息化
管理信息系统,信息系统,政务信息化
信息系统建设,信息化建设,政务信息化
信息化建设,信息化建设,政务信息化
政务信息化,信息化建设,政务信息化
数字化建设,信息化建设,政务信息化
数字政府,信息化建设,政务信息化
网络工程,网络工程,网络与基础设施
计算机网络,网络工程,网络与基础设施
网络技术,网络工程,网络与基础设施
网络运维,网络运维,网络与基础设施
网络维护,网络运维,网络与基础设施
网络管理,网络运维,网络与基础设施
网络设备,网络运维,网络与基础设施
系统运维,系统运维,网络与基础设施
系统维护,系统运维,网络与基础设施
运维,系统运维,网络与基础设施
运行维护,系统运维,网络与基础设施
技术维护,系统运维,网络与基础设施
信息安全,信息安全,网络与安全
网络安全,信息安全,网络与安全
网络与信息安全,信息安全,网络与安全
网络空间安全,网络空间安全,网络与安全
数据安全,数据安全,网络与安全
安全管理,数据安全,网络与安全
安全运维,数据安全,网络与安全
密码,密码技术,网络与安全
密码科学与技术,密码技术,网络与安全
密码技术,密码技术,网络与安全
数据科学与大数据技术,数据科学与大数据技术,数据与统计
大数据技术,数据科学与大数据技术,数据与统计
数据科学,数据科学与大数据技术,数据与统计
数据治理,数据治理,数据与统计
数据管理,数据管理,数据与统计
数据处理,数据处理,数据与统计
数据分析,数据分析,数据与统计
数据挖掘,数据分析,数据与统计
数据计算及应用,数据计算及应用,数据与统计
统计分析,统计分析,数据与统计
统计调查,统计分析,数据与统计
统计学,统计学,数据与统计
应用统计学,统计学,数据与统计
信息管理与信息系统,信息管理与信息系统,政务信息化
大数据管理与应用,大数据管理与应用,政务信息化
人工智能,人工智能,智能化技术
智能科学与技术,人工智能,智能化技术
智能系统,人工智能,智能化技术
自动化,自动化,智能化技术
自动化类,自动化,智能化技术
控制科学与工程,自动化,智能化技术
物联网工程,物联网工程,智能化技术
物联网,物联网工程,智能化技术
通信工程,通信工程,通信与电子技术
信息与通信工程,通信工程,通信与电子技术
通信技术,通信工程,通信与电子技术
电子信息工程,电子信息工程,通信与电子技术
电子信息,电子信息,通信与电子技术
电子与计算机工程,电子信息,通信与电子技术
情报技术,情报技术,政法信息技术
技术侦查,情报技术,政法信息技术
网络侦查,情报技术,政法信息技术
信息化侦查,情报技术,政法信息技术
地理信息,地理信息系统,空间信息技术
GIS,地理信息系统,空间信息技术
地理信息系统,地理信息系统,空间信息技术
遥感,遥感技术,空间信息技术
遥感科学与技术,遥感技术,空间信息技术
