skill,kg_display_skill
.NET,编程语言
agent,大模型
ai coding,AI
AIGC,AI
AIops,系统与运维
AI助手,AI
AI基础设施,AI
AI安全,安全
AI工作流设计,AI
AI工程,AI
AI应用开发,AI
AI框架,AI
AI测试,AI
AI算法,AI
AI芯片,硬件与芯片
Ascend,硬件与芯片
ASR,大模型
Attention机制,大模型
AUTOSAR,行业应用
C/C++,编程语言
CAD/CAE工具,科学计算与仿真
CUDA,硬件与芯片
Diffusion模型,大模型
Diff算法,算法与数学
Docker,系统与运维
DSP开发,硬件与芯片
Embedding,大模型
ESL建模,硬件与芯片
ETA算法,行业应用
Go,编程语言
GPU内存优化,硬件与芯片
harness工程,软件工程
HIL测试,软件测试
HMI开发,交互体验
Hook技术,软件开发
ISP算法,硬件与芯片
IT基础设施,云计算
Java,编程语言
JavaScript,编程语言
Kotlin,编程语言
LLM,大模型
LLMOps/MLOps,大模型
LoRA微调,大模型
Lua,编程语言
Machine Learning,AI
MCP协议,软件开发
MoE模型,大模型
Multimodal AI,大模型
NLP,大模型
Node.js,编程语言
OAuth,软件开发
OTA升级,系统与运维
PCA,算法与数学
PHP,编程语言
PIE工艺整合,硬件与芯片
PIL测试,软件测试
PLC编程,工业与物联网
prompt工程,大模型
Python,编程语言
RAG,大模型
Rust,编程语言
Shell脚本,编程语言
SIL测试,软件测试
SIMD,硬件与芯片
SRE,系统与运维
Swift开发,编程语言
TTS,大模型
VLA模型,大模型
VLM,大模型
Web爬虫,数据工程
上下文工程,大模型
不确定性建模,算法与数学
世界模型,大模型
主机平台开发,软件开发
主题建模,算法与数学
云计算,云计算
交互技术,交互体验
交通算法,行业应用
人因工程,交互体验
人机交互,交互体验
人格化建模,AI
仓储自动化,工业与物联网
代价模型,算法与数学
仿真技术,科学计算与仿真
位姿估计,机器人与自动驾驶
位姿图优化,机器人与自动驾驶
位置编码,计算机视觉与图形
信号处理,硬件与芯片
信号完整性,硬件与芯片
信息安全,安全
信息论,算法与数学
偏好学习,AI
健康算法,行业应用
充电系统,硬件与芯片
光学技术,硬件与芯片
光计算,硬件与芯片
冷启动优化,软件工程
功能安全,安全
动作捕捉,计算机视觉与图形
动作生成,计算机视觉与图形
动作识别,计算机视觉与图形
动态分析,软件工程
动画技术,计算机视觉与图形
区块链,行业应用
协同系统,软件开发
协处理器,硬件与芯片
即时通信,通信与网络
参数估计,算法与数学
参数调优,算法与数学
反馈学习,AI
可解释AI,AI
可靠性设计,系统与运维
向量计算,数据工程
因子分析,算法与数学
因果推断,算法与数学
国产化适配,系统与运维
图像图形技术,计算机视觉与图形
在线实验,AI
在线服务,软件开发
地图算法,行业应用
垂直领域模型,大模型
域控制器,硬件与芯片
增量学习,AI
增量更新,系统与运维
复杂SoC设计,硬件与芯片
复杂交互开发,软件开发
复杂模型结构实现,大模型
多任务学习,AI
多实例学习,AI
多方安全计算,安全
多源信息融合SLAM,机器人与自动驾驶
多源异构知识处理,知识图谱
多目标优化,算法与数学
多目标跟踪,机器人与自动驾驶
多租户架构,系统与运维
多语言均衡,大模型
多语言开发,软件开发
大模型ASR,大模型
大模型偏好数据,大模型
大模型后训练,大模型
大模型安全,大模型
大模型强化,大模型
大模型微调,大模型
大模型训练,大模型
大模型评测,大模型
大模型调优,大模型
大模型预训练,大模型
大规模并发AI,AI
封装EDA,硬件与芯片
封装格式,硬件与芯片
小模型,大模型
工业自动化,工业与物联网
序列建模,AI
座舱系统,行业应用
异常检测,软件工程
异构计算,硬件与芯片
引擎开发,软件开发
弱网优化,系统与运维
归因分析,软件工程
录制回放,软件工程
形式化验证,软件工程
形式语义,软件工程
微应用开发,软件开发
微服务安全,系统与运维
微服务测试,系统与运维
惯性导航,机器人与自动驾驶
感知算法,AI
手写识别,计算机视觉与图形
持续学习,AI
数字人技术,AI
数字取证,安全
数据工程,数据工程
时钟设计,硬件与芯片
时间同步,系统与运维
时间序列算法,算法与数学
机器人与自动驾驶,机器人与自动驾驶
查询优化,数据工程
标定校准,机器人与自动驾驶
模型压缩,大模型
模型安全,大模型
模型对齐,大模型
模型工程,大模型
模型并行,大模型
模型推理,大模型
模型服务化,大模型
模型训练,大模型
模型评测,大模型
模式识别,AI
模拟电路设计,硬件与芯片
汇编语言,编程语言
汽车电子,行业应用
流式计算,数据工程
流程自动化,软件工程
消融实验,科学计算与仿真
混沌工程,软件工程
游戏与图形开发,游戏与图形
版图设计,硬件与芯片
物联网,工业与物联网
特征工程,数据工程
知识图谱,知识图谱
研发效能,软件工程
硬件开发,硬件与芯片
神经元激活分析,AI
神经符号推理,AI
科学计算,科学计算与仿真
科学计算软件,科学计算与仿真
稀疏计算,硬件与芯片
空间智能,AI
端到端定位,机器人与自动驾驶
端到端系统,软件开发
算子开发,硬件与芯片
算法工程,算法与数学
系统开发,系统与运维
编程语言,编程语言
编解码技术,音视频技术
网络技术,通信与网络
自动化技术,系统与运维
自动化算法,系统与运维
自动化运维,系统与运维
触控技术,交互体验
触觉技术,交互体验
计算机体系结构,硬件与芯片
计算机网络,通信与网络
计算机视觉,计算机视觉与图形
认知架构,AI
设备安全,安全
设计验证,软件工程
误差分析,算法与数学
调试工具,软件工程
跨平台开发,软件开发
跨语言技术,软件开发
身份认证,安全
软件工程,软件工程
软件开发,软件开发
软件测试,软件测试
软硬件协同,硬件与芯片
通信技术,通信与网络
雷达算法,通信与网络
音视频技术,音视频技术
高性能计算,硬件与芯片
高性能通信,通信与网络
高速接口,硬件与芯片
