normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
专业,自动短语,auto_phrase,20714,20714,government:20714,job_535b908c4eb6907ae470;job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d,法务管理岗位一级主任科员及以下 | 财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下,专业要求：030105民商法、030103宪法学与行政法学、035102法律（法学 | 专业要求：本科：120203K会计学、120204财务管理 | 专业要求：本科：081001土木工程、120103工程管理、120105工程造价
公务员/事业单位,岗位标签,title_or_tag,20714,20714,government:20714,job_535b908c4eb6907ae470;job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d,法务管理岗位一级主任科员及以下 | 财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下,公务员/事业单位 | 公务员/事业单位 | 公务员/事业单位
公务员/事业单位岗位,岗位标签,title_or_tag,20714,20714,government:20714,job_535b908c4eb6907ae470;job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d,法务管理岗位一级主任科员及以下 | 财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下,公务员/事业单位岗位 | 公务员/事业单位岗位 | 公务员/事业单位岗位
基层工作经历,公务员条件,constraint,20714,20714,government:20714,job_535b908c4eb6907ae470;job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d,法务管理岗位一级主任科员及以下 | 财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下,基层工作经历：二年 | 基层工作经历：二年 | 基层工作经历：二年
学位,自动短语,auto_phrase,20714,20714,government:20714,job_535b908c4eb6907ae470;job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d,法务管理岗位一级主任科员及以下 | 财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下,学位要求：硕士 | 学位要求：与最高学历相对应的学位 | 学位要求：与最高学历相对应的学位
学历,自动短语,auto_phrase,20714,20714,government:20714,job_535b908c4eb6907ae470;job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d,法务管理岗位一级主任科员及以下 | 财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下,学历要求：仅限硕士研究生 | 学历要求：本科或硕士研究生 | 学历要求：本科或硕士研究生
本科,学历要求,constraint,18323,18323,government:18323,job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d;job_32eea5922c9a977f108b,财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下 | 服务管理岗位一级主任科员及以下,公务员/事业单位；本科或硕士研究生；与最高学历相对应的学位；本科：120203K会计学、120204财务管理；研究生：120201会计学、1253会计；中央机关及其省级直属机构综合管理类 | 公务员/事业单位；本科或硕士研究生；与最高学历相对应的学位；本科：081001土木工程、120103工程管理、120105工程造价；研究生：125601工程管理、081402结构工程；中央机关及其省级直属机构综合管理类 | 公务员/事业单位；仅限本科；学士；030301社会学、030302社会工作、030306T老年学、030307T社会政策；中央机关及其省级直属机构综合管理类
与最高学历相对应的学位,岗位标签,title_or_tag,17299,17299,government:17299,job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d;job_8ba32d595b01e4981ea6,财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下 | 宣传教育岗位一级主任科员及以下,与最高学历相对应的学位 | 与最高学历相对应的学位 | 与最高学历相对应的学位
最高学历相对应的学位,自动短语,auto_phrase,17299,17299,government:17299,job_a71dc03839e31c2bc183;job_a6c1506ba2bf16faac1d;job_8ba32d595b01e4981ea6,财务管理岗位一级主任科员及以下 | 工程监理岗位一级主任科员及以下 | 宣传教育岗位一级主任科员及以下,公务员/事业单位；本科或硕士研究生；与最高学历相对应的学位；本科：120203K会计学、120204财务管理；研究生：120201会计学、1253会计；中央机关及其省级直属机构综合管理类 | 公务员/事业单位；本科或硕士研究生；与最高学历相对应的学位；本科：081001土木工程、120103工程管理、120105工程造价；研究生：125601工程管理、081402结构工程；中央机关及其省级直属机构综合管理类 | 公务员/事业单位；本科或硕士研究生；与最高学历相对应的学位；本科：130309播音与主持艺术；研究生：1301艺术学、1354戏剧与影视（研究生报考本科阶段专业须为130309播音与主持艺术）；中央机关及其省级直属机构综合管理类
行政执法类,岗位标签,title_or_tag,14954,14954,government:14954,job_db8fee6a94a514e20bd8;job_19409795b6db88d2c450;job_a89381302cbbd06e12ca,二处一级警长及以下 | 三处一级警长及以下 | 四处一级警长及以下,行政执法类 | 行政执法类 | 行政执法类
本科及以上,岗位标签,title_or_tag,14123,14123,government:14123,job_870f91162277b82f20a2;job_3c7a3fbdf4df836b0eae;job_a657bf605bf329100618,学员工作二处一级主任科员及以下 | 培训开发处一级主任科员及以下 | 后勤保障处一级主任科员及以下,本科及以上 | 本科及以上 | 本科及以上
