standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,source_month,source_type,profile_generated_at
AI Agent应用工程师,prompt工程,,22,13,0.5909,418,211,0.5048,稳定核心技能,1,1,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,Agent,,22,12,0.5455,418,195,0.4665,稳定核心技能,1,2,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,Go,,22,12,0.5455,418,203,0.4856,稳定核心技能,1,3,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,Java,,22,11,0.5,418,205,0.4904,稳定核心技能,1,4,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,LangChain,,22,11,0.5,418,197,0.4713,稳定核心技能,1,5,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,Multi-Agent,,22,11,0.5,418,173,0.4139,稳定核心技能,1,6,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,Python,,22,11,0.5,418,213,0.5096,稳定核心技能,1,7,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,RAG,,22,11,0.5,418,197,0.4713,稳定核心技能,1,8,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,AutoGen,,22,10,0.4545,418,167,0.3995,稳定核心技能,1,9,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,LLM,,22,10,0.4545,418,183,0.4378,稳定核心技能,1,10,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,LangGraph,,22,10,0.4545,418,175,0.4187,稳定核心技能,1,11,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,分布式系统,,22,10,0.4545,418,167,0.3995,稳定核心技能,1,12,2026-07,system,2026-08-07T09:07:07+00:00
AI Agent应用工程师,AI工作流设计,,22,9,0.4091,418,174,0.4163,稳定核心技能,1,13,2026-07,system,2026-08-07T09:07:07+00:00
