month,standard_job,skill,kg_display_skill,lifecycle_status,first_seen_month,last_seen_month,age_months,months_since_last_seen,current_monthly_skill_count,current_monthly_skill_frequency,cumulative_skill_count,cumulative_skill_frequency,recent_3m_skill_count,recent_6m_skill_count,recent_3m_active_months,recent_6m_active_months,prev_3m_skill_count,prev_6m_skill_count,mom_frequency_change,recent_3m_vs_prev_3m_change,recent_6m_frequency_stddev,covered_job_count,recent_3m_covered_job_count,prev_3m_covered_job_count,recent_3m_covered_job_count_change,lifecycle_reason,updated_at
2026-07,AI Agent应用工程师,AI工作流设计,,稳定核心技能,2025-01,2026-07,19,0,9,0.4091,174,0.4163,27,53,3,6,26,60,-0.090889,0.038462,0.030133,9,6,7,-1,已持续19个月，近6个月活跃6个月，累计频率0.42,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,AI应用开发,,观察中,2025-02,2026-05,18,2,0,0.0,5,0.012,2,2,1,1,0,2,0.0,1.0,0.037268,10,9,5,4,当前证据不足，最近3个月出现2次，累计出现5次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Agent,,稳定核心技能,2025-01,2026-07,19,0,12,0.5455,195,0.4665,29,58,3,6,29,60,0.212222,0.0,0.060905,11,9,8,1,已持续19个月，近6个月活跃6个月，累计频率0.47,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Angular,,观察中,2025-07,2025-07,13,12,0,0.0,1,0.0024,0,0,0,0,0,0,0.0,0.0,0.0,3,1,1,0,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,AutoGen,,稳定核心技能,2025-02,2026-07,18,0,10,0.4545,167,0.3995,29,56,3,6,27,55,0.13625,0.074074,0.082706,8,7,6,1,已持续18个月，近6个月活跃6个月，累计频率0.40,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,C/C++,,稳定核心技能,2024-12,2026-07,20,0,9,0.4091,191,0.4569,28,53,3,6,25,56,-0.1818,0.12,0.04783,66,62,61,1,已持续20个月，近6个月活跃6个月，累计频率0.46,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,CSS,,废弃技能,2024-12,2024-12,20,19,0,0.0,4,0.0096,0,0,0,0,0,0,0.0,0.0,0.0,6,4,3,1,最近3个月未出现，距最后出现已19个月，历史累计出现4次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Context Engineering,,稳定核心技能,2025-03,2026-07,17,0,9,0.4091,150,0.3589,22,48,3,6,26,53,0.168857,-0.153846,0.069489,9,5,5,0,已持续17个月，近6个月活跃6个月，累计频率0.36,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Elasticsearch,,废弃技能,2024-12,2025-03,20,16,0,0.0,3,0.0072,0,0,0,0,0,0,0.0,0.0,0.0,15,6,8,-2,最近3个月未出现，距最后出现已16个月，历史累计出现3次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Embedding,,观察中,2025-01,2026-06,19,1,0,0.0,4,0.0096,1,1,1,1,0,1,-1.0,1.0,0.018634,10,6,6,0,当前证据不足，最近3个月出现1次，累计出现4次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Flutter,,观察中,2024-12,2024-12,20,19,0,0.0,1,0.0024,0,0,0,0,0,0,0.0,0.0,0.0,3,2,2,0,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Function Calling,,稳定核心技能,2025-01,2026-07,19,0,8,0.3636,161,0.3852,25,50,3,6,25,51,-0.192,0.0,0.035925,9,8,5,3,已持续19个月，近6个月活跃6个月，累计频率0.39,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Go,,稳定核心技能,2024-12,2026-07,20,0,12,0.5455,203,0.4856,32,58,3,6,26,56,-0.008182,0.230769,0.06188,52,42,41,1,已持续20个月，近6个月活跃6个月，累计频率0.49,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Hadoop,,观察中,2025-02,2025-04,18,15,0,0.0,2,0.0048,0,0,0,0,0,0,0.0,0.0,0.0,29,17,19,-2,当前证据不足，最近3个月出现0次，累计出现2次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Java,,稳定核心技能,2024-12,2026-07,20,0,11,0.5,205,0.4904,29,56,3,6,27,58,0.0,0.074074,0.049526,52,45,46,-1,已持续20个月，近6个月活跃6个月，累计频率0.49,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Kotlin,,观察中,2024-12,2025-11,20,8,0,0.0,2,0.0048,0,0,0,0,0,1,0.0,0.0,0.0,5,3,3,0,当前证据不足，最近3个月出现0次，累计出现2次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Kubernetes,,废弃技能,2024-12,2025-08,20,11,0,0.0,13,0.0311,0,0,0,0,0,1,0.0,0.0,0.0,24,16,17,-1,最近3个月未出现，距最后出现已11个月，历史累计出现13次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,LLM,,稳定核心技能,2025-01,2026-07,19,0,10,0.4545,183,0.4378,28,52,3,6,24,60,0.13625,0.166667,0.073681,15,14,14,0,已持续19个月，近6个月活跃6个月，累计频率0.44,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,LangChain,,稳定核心技能,2025-01,2026-07,19,0,11,0.5,197,0.4713,32,62,3,6,30,65,-0.090909,0.066667,0.040972,10,8,9,-1,已持续19个月，近6个月活跃6个月，累计频率0.47,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,LangGraph,,稳定核心技能,2025-02,2026-07,18,0,10,0.4545,175,0.4187,33,61,3,6,28,63,-0.2425,0.178571,0.054709,8,6,6,0,已持续18个月，近6个月活跃6个月，累计频率0.42,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,MCP,,稳定核心技能,2025-04,2026-07,16,0,8,0.3636,148,0.3541,22,50,3,6,28,60,0.038857,-0.214286,0.106847,9,8,7,1,已持续16个月，近6个月活跃6个月，累计频率0.35,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,MongoDB,,废弃技能,2024-12,2025-09,20,10,0,0.0,4,0.0096,0,0,0,0,0,1,0.0,0.0,0.0,13,6,8,-2,最近3个月未出现，距最后出现已10个月，历史累计出现4次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Multi-Agent,,稳定核心技能,2025-02,2026-07,18,0,11,0.5,173,0.4139,33,61,3,6,28,60,-0.090909,0.178571,0.037565,8,4,5,-1,已持续18个月，近6个月活跃6个月，累计频率0.41,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Multimodal AI,,观察中,2025-06,2026-03,14,4,0,0.0,2,0.0048,0,1,0,1,1,0,0.0,-1.0,0.019603,9,5,8,-3,当前证据不足，最近3个月出现0次，累计出现2次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,MyBatis,,废弃技能,2024-12,2025-01,20,18,0,0.0,3,0.0072,0,0,0,0,0,0,0.0,0.0,0.0,5,1,1,0,最近3个月未出现，距最后出现已18个月，历史累计出现3次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,MySQL,,观察中,2024-12,2026-04,20,3,0,0.0,3,0.0072,0,1,0,1,1,1,0.0,-1.0,0.019603,33,25,23,2,当前证据不足，最近3个月出现0次，累计出现3次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,NoSQL,,观察中,2024-12,2024-12,20,19,0,0.0,1,0.0024,0,0,0,0,0,0,0.0,0.0,0.0,6,5,5,0,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,PostgreSQL,,废弃技能,2024-12,2025-09,20,10,0,0.0,5,0.012,0,0,0,0,0,1,0.0,0.0,0.0,8,2,5,-3,最近3个月未出现，距最后出现已10个月，历史累计出现5次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,PyTorch,,废弃技能,2024-12,2026-01,20,6,0,0.0,4,0.0096,0,0,0,0,0,1,0.0,0.0,0.0,38,31,30,1,最近3个月未出现，距最后出现已6个月，历史累计出现4次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Python,,稳定核心技能,2024-12,2026-07,20,0,11,0.5,213,0.5096,30,61,3,6,31,64,0.111111,-0.032258,0.038534,70,66,66,0,已持续20个月，近6个月活跃6个月，累计频率0.51,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,RAG,,稳定核心技能,2025-01,2026-07,19,0,11,0.5,197,0.4713,30,64,3,6,34,59,0.0,-0.117647,0.077444,13,9,7,2,已持续19个月，近6个月活跃6个月，累计频率0.47,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,React,,废弃技能,2024-12,2025-06,20,13,0,0.0,4,0.0096,0,0,0,0,0,0,0.0,0.0,0.0,17,8,7,1,最近3个月未出现，距最后出现已13个月，历史累计出现4次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Rust,,废弃技能,2024-12,2026-02,20,5,0,0.0,8,0.0191,0,1,0,1,1,0,0.0,-1.0,0.018634,16,11,12,-1,最近3个月未出现，距最后出现已5个月，历史累计出现8次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Spark,,观察中,2024-12,2025-01,20,18,0,0.0,2,0.0048,0,0,0,0,0,0,0.0,0.0,0.0,32,24,23,1,当前证据不足，最近3个月出现0次，累计出现2次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Spring,,废弃技能,2024-12,2024-12,20,19,0,0.0,3,0.0072,0,0,0,0,0,0,0.0,0.0,0.0,3,1,1,0,最近3个月未出现，距最后出现已19个月，历史累计出现3次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Swift,,观察中,2024-12,2024-12,20,19,0,0.0,1,0.0024,0,0,0,0,0,0,0.0,0.0,0.0,8,4,5,-1,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Tool Use,,观察中,2025-02,2025-02,18,17,0,0.0,1,0.0024,0,0,0,0,0,0,0.0,0.0,0.0,8,2,3,-1,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Unix,,观察中,2025-09,2025-09,11,10,0,0.0,1,0.0024,0,0,0,0,0,1,0.0,0.0,0.0,11,3,2,1,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,VLM,,观察中,2025-08,2025-08,12,11,0,0.0,1,0.0024,0,0,0,0,0,1,0.0,0.0,0.0,10,4,5,-1,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Web,,观察中,2025-10,2025-11,10,8,0,0.0,2,0.0048,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0,当前证据不足，最近3个月出现0次，累计出现2次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,Web爬虫,,废弃技能,2024-12,2025-11,20,8,0,0.0,3,0.0072,0,0,0,0,0,1,0.0,0.0,0.0,4,2,1,1,最近3个月未出现，距最后出现已8个月，历史累计出现3次,2026-08-07T09:06:01+00:00
2026-07,AI Agent应用工程师,harness工程,,观察中,2024-12,2024-12,20,19,0,0.0,1,0.0024,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,当前证据不足，最近3个月出现0次，累计出现1次,2026-08-07T09:06:01+00:00
