standard_job,standard_category,month,month_index,monthly_jd_count,cumulative_jd_count,demand_trend_type,is_active_month
大模型算法工程师,AI算法,2024-12,1,19,19,????,yes
大模型算法工程师,AI算法,2025-01,2,21,40,????,yes
大模型算法工程师,AI算法,2025-02,3,21,61,????,yes
大模型算法工程师,AI算法,2025-03,4,22,83,????,yes
大模型算法工程师,AI算法,2025-04,5,19,102,????,yes
大模型算法工程师,AI算法,2025-05,6,21,123,????,yes
大模型算法工程师,AI算法,2025-06,7,22,145,????,yes
大模型算法工程师,AI算法,2025-07,8,22,167,????,yes
大模型算法工程师,AI算法,2025-08,9,21,188,????,yes
大模型算法工程师,AI算法,2025-09,10,22,210,????,yes
大模型算法工程师,AI算法,2025-10,11,21,231,????,yes
大模型算法工程师,AI算法,2025-11,12,19,250,????,yes
大模型算法工程师,AI算法,2025-12,13,19,269,????,yes
大模型算法工程师,AI算法,2026-01,14,23,292,????,yes
大模型算法工程师,AI算法,2026-02,15,19,311,????,yes
大模型算法工程师,AI算法,2026-03,16,23,334,????,yes
大模型算法工程师,AI算法,2026-04,17,20,354,????,yes
大模型算法工程师,AI算法,2026-05,18,23,377,????,yes
大模型算法工程师,AI算法,2026-06,19,23,400,????,yes
大模型算法工程师,AI算法,2026-07,20,20,420,????,yes
AI Agent算法工程师,AI算法,2024-12,1,19,19,????,yes
AI Agent算法工程师,AI算法,2025-01,2,23,42,????,yes
AI Agent算法工程师,AI算法,2025-02,3,22,64,????,yes
AI Agent算法工程师,AI算法,2025-03,4,23,87,????,yes
AI Agent算法工程师,AI算法,2025-04,5,19,106,????,yes
AI Agent算法工程师,AI算法,2025-05,6,22,128,????,yes
AI Agent算法工程师,AI算法,2025-06,7,23,151,????,yes
AI Agent算法工程师,AI算法,2025-07,8,23,174,????,yes
AI Agent算法工程师,AI算法,2025-08,9,23,197,????,yes
AI Agent算法工程师,AI算法,2025-09,10,23,220,????,yes
AI Agent算法工程师,AI算法,2025-10,11,19,239,????,yes
AI Agent算法工程师,AI算法,2025-11,12,22,261,????,yes
AI Agent算法工程师,AI算法,2025-12,13,19,280,????,yes
AI Agent算法工程师,AI算法,2026-01,14,19,299,????,yes
AI Agent算法工程师,AI算法,2026-02,15,23,322,????,yes
AI Agent算法工程师,AI算法,2026-03,16,20,342,????,yes
AI Agent算法工程师,AI算法,2026-04,17,22,364,????,yes
AI Agent算法工程师,AI算法,2026-05,18,20,384,????,yes
AI Agent算法工程师,AI算法,2026-06,19,21,405,????,yes
AI Agent算法工程师,AI算法,2026-07,20,22,427,????,yes
大模型应用工程师,AI应用,2024-12,1,19,19,????,yes
大模型应用工程师,AI应用,2025-01,2,23,42,????,yes
大模型应用工程师,AI应用,2025-02,3,20,62,????,yes
大模型应用工程师,AI应用,2025-03,4,19,81,????,yes
大模型应用工程师,AI应用,2025-04,5,20,101,????,yes
大模型应用工程师,AI应用,2025-05,6,20,121,????,yes
大模型应用工程师,AI应用,2025-06,7,20,141,????,yes
大模型应用工程师,AI应用,2025-07,8,20,161,????,yes
大模型应用工程师,AI应用,2025-08,9,21,182,????,yes
大模型应用工程师,AI应用,2025-09,10,19,201,????,yes
大模型应用工程师,AI应用,2025-10,11,20,221,????,yes
大模型应用工程师,AI应用,2025-11,12,19,240,????,yes
大模型应用工程师,AI应用,2025-12,13,19,259,????,yes
大模型应用工程师,AI应用,2026-01,14,22,281,????,yes
大模型应用工程师,AI应用,2026-02,15,23,304,????,yes
大模型应用工程师,AI应用,2026-03,16,19,323,????,yes
大模型应用工程师,AI应用,2026-04,17,19,342,????,yes
大模型应用工程师,AI应用,2026-05,18,21,363,????,yes
大模型应用工程师,AI应用,2026-06,19,21,384,????,yes
大模型应用工程师,AI应用,2026-07,20,23,407,????,yes
AI Agent应用工程师,AI应用,2024-12,1,20,20,??????,yes
AI Agent应用工程师,AI应用,2025-01,2,22,42,??????,yes
AI Agent应用工程师,AI应用,2025-02,3,22,64,??????,yes
AI Agent应用工程师,AI应用,2025-03,4,21,85,??????,yes
AI Agent应用工程师,AI应用,2025-04,5,20,105,??????,yes
AI Agent应用工程师,AI应用,2025-05,6,21,126,??????,yes
AI Agent应用工程师,AI应用,2025-06,7,23,149,??????,yes
AI Agent应用工程师,AI应用,2025-07,8,22,171,??????,yes
AI Agent应用工程师,AI应用,2025-08,9,22,193,??????,yes
AI Agent应用工程师,AI应用,2025-09,10,21,214,??????,yes
AI Agent应用工程师,AI应用,2025-10,11,23,237,??????,yes
AI Agent应用工程师,AI应用,2025-11,12,21,258,??????,yes
AI Agent应用工程师,AI应用,2025-12,13,20,278,??????,yes
AI Agent应用工程师,AI应用,2026-01,14,20,298,??????,yes
AI Agent应用工程师,AI应用,2026-02,15,20,318,??????,yes
AI Agent应用工程师,AI应用,2026-03,16,19,337,??????,yes
AI Agent应用工程师,AI应用,2026-04,17,19,356,??????,yes
AI Agent应用工程师,AI应用,2026-05,18,20,376,??????,yes
AI Agent应用工程师,AI应用,2026-06,19,20,396,??????,yes
AI Agent应用工程师,AI应用,2026-07,20,22,418,??????,yes
AI应用工程师,AI应用,2024-12,1,21,21,??????,yes
AI应用工程师,AI应用,2025-01,2,19,40,??????,yes
AI应用工程师,AI应用,2025-02,3,19,59,??????,yes
AI应用工程师,AI应用,2025-03,4,20,79,??????,yes
AI应用工程师,AI应用,2025-04,5,21,100,??????,yes
AI应用工程师,AI应用,2025-05,6,23,123,??????,yes
AI应用工程师,AI应用,2025-06,7,22,145,??????,yes
AI应用工程师,AI应用,2025-07,8,23,168,??????,yes
AI应用工程师,AI应用,2025-08,9,23,191,??????,yes
AI应用工程师,AI应用,2025-09,10,23,214,??????,yes
AI应用工程师,AI应用,2025-10,11,23,237,??????,yes
AI应用工程师,AI应用,2025-11,12,20,257,??????,yes
AI应用工程师,AI应用,2025-12,13,22,279,??????,yes
AI应用工程师,AI应用,2026-01,14,20,299,??????,yes
AI应用工程师,AI应用,2026-02,15,20,319,??????,yes
AI应用工程师,AI应用,2026-03,16,22,341,??????,yes
AI应用工程师,AI应用,2026-04,17,20,361,??????,yes
AI应用工程师,AI应用,2026-05,18,20,381,??????,yes
AI应用工程师,AI应用,2026-06,19,22,403,??????,yes
AI应用工程师,AI应用,2026-07,20,19,422,??????,yes
AI安全工程师,AI安全,2024-12,1,20,20,????,yes
AI安全工程师,AI安全,2025-01,2,23,43,????,yes
AI安全工程师,AI安全,2025-02,3,23,66,????,yes
AI安全工程师,AI安全,2025-03,4,19,85,????,yes
AI安全工程师,AI安全,2025-04,5,22,107,????,yes
AI安全工程师,AI安全,2025-05,6,21,128,????,yes
AI安全工程师,AI安全,2025-06,7,22,150,????,yes
AI安全工程师,AI安全,2025-07,8,20,170,????,yes
AI安全工程师,AI安全,2025-08,9,20,190,????,yes
AI安全工程师,AI安全,2025-09,10,23,213,????,yes
AI安全工程师,AI安全,2025-10,11,23,236,????,yes
AI安全工程师,AI安全,2025-11,12,20,256,????,yes
AI安全工程师,AI安全,2025-12,13,21,277,????,yes
