standard_job,standard_category,month,month_index,skill,kg_display_skill,skill_stage,skill_plan_role,skill_trend_type,planned_jd_count,skill_probability,expected_skill_count
大模型算法工程师,AI算法,2024-12,1,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-01,2,LLM,大模型,new,core,先上升后稳定,1,0.6200,1
大模型算法工程师,AI算法,2025-02,3,LLM,大模型,new,core,先上升后稳定,1,0.6200,1
大模型算法工程师,AI算法,2025-03,4,LLM,大模型,new,core,先上升后稳定,1,0.6200,1
大模型算法工程师,AI算法,2025-04,5,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-05,6,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-06,7,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-07,8,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-08,9,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-09,10,LLM,大模型,new,core,先上升后稳定,2,0.6200,1
大模型算法工程师,AI算法,2025-10,11,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2025-11,12,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2025-12,13,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2026-01,14,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2026-02,15,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2026-03,16,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2026-04,17,LLM,大模型,new,core,先上升后稳定,3,0.6200,2
大模型算法工程师,AI算法,2026-05,18,LLM,大模型,new,core,先上升后稳定,4,0.6200,2
大模型算法工程师,AI算法,2026-06,19,LLM,大模型,new,core,先上升后稳定,4,0.6200,2
大模型算法工程师,AI算法,2026-07,20,LLM,大模型,new,core,先上升后稳定,4,0.6200,2
大模型算法工程师,AI算法,2024-12,1,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-01,2,Machine Learning,AI,new,core,稳定型,1,0.6200,1
大模型算法工程师,AI算法,2025-02,3,Machine Learning,AI,new,core,稳定型,1,0.6200,1
大模型算法工程师,AI算法,2025-03,4,Machine Learning,AI,new,core,稳定型,1,0.6200,1
大模型算法工程师,AI算法,2025-04,5,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-05,6,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-06,7,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-07,8,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-08,9,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-09,10,Machine Learning,AI,new,core,稳定型,2,0.6200,1
大模型算法工程师,AI算法,2025-10,11,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2025-11,12,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2025-12,13,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2026-01,14,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2026-02,15,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2026-03,16,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2026-04,17,Machine Learning,AI,new,core,稳定型,3,0.6200,2
大模型算法工程师,AI算法,2026-05,18,Machine Learning,AI,new,core,稳定型,4,0.6200,2
大模型算法工程师,AI算法,2026-06,19,Machine Learning,AI,new,core,稳定型,4,0.6200,2
大模型算法工程师,AI算法,2026-07,20,Machine Learning,AI,new,core,稳定型,4,0.6200,2
大模型算法工程师,AI算法,2024-12,1,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-01,2,NLP,大模型,new,core,持续上升,1,0.6200,1
大模型算法工程师,AI算法,2025-02,3,NLP,大模型,new,core,持续上升,1,0.6200,1
大模型算法工程师,AI算法,2025-03,4,NLP,大模型,new,core,持续上升,1,0.6200,1
大模型算法工程师,AI算法,2025-04,5,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-05,6,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-06,7,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-07,8,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-08,9,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-09,10,NLP,大模型,new,core,持续上升,2,0.6200,1
大模型算法工程师,AI算法,2025-10,11,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2025-11,12,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2025-12,13,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2026-01,14,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2026-02,15,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2026-03,16,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2026-04,17,NLP,大模型,new,core,持续上升,3,0.6200,2
大模型算法工程师,AI算法,2026-05,18,NLP,大模型,new,core,持续上升,4,0.6200,2
大模型算法工程师,AI算法,2026-06,19,NLP,大模型,new,core,持续上升,4,0.6200,2
大模型算法工程师,AI算法,2026-07,20,NLP,大模型,new,core,持续上升,4,0.6200,2
大模型算法工程师,AI算法,2024-12,1,多模态,大模型,new,core,先上升后稳定,2,0.0000,0
大模型算法工程师,AI算法,2025-01,2,多模态,大模型,new,core,先上升后稳定,1,0.0000,0
大模型算法工程师,AI算法,2025-02,3,多模态,大模型,new,core,先上升后稳定,1,0.5746,1
大模型算法工程师,AI算法,2025-03,4,多模态,大模型,new,core,先上升后稳定,1,0.5746,1
大模型算法工程师,AI算法,2025-04,5,多模态,大模型,new,core,先上升后稳定,2,0.5746,1
大模型算法工程师,AI算法,2025-05,6,多模态,大模型,new,core,先上升后稳定,2,0.5746,1
大模型算法工程师,AI算法,2025-06,7,多模态,大模型,new,core,先上升后稳定,2,0.5746,1
大模型算法工程师,AI算法,2025-07,8,多模态,大模型,new,core,先上升后稳定,2,0.5746,1
大模型算法工程师,AI算法,2025-08,9,多模态,大模型,new,core,先上升后稳定,2,0.5746,1
大模型算法工程师,AI算法,2025-09,10,多模态,大模型,new,core,先上升后稳定,2,0.5746,1
大模型算法工程师,AI算法,2025-10,11,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2025-11,12,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2025-12,13,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2026-01,14,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2026-02,15,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2026-03,16,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2026-04,17,多模态,大模型,new,core,先上升后稳定,3,0.5746,2
大模型算法工程师,AI算法,2026-05,18,多模态,大模型,new,core,先上升后稳定,4,0.5746,2
大模型算法工程师,AI算法,2026-06,19,多模态,大模型,new,core,先上升后稳定,4,0.5746,2
大模型算法工程师,AI算法,2026-07,20,多模态,大模型,new,core,先上升后稳定,4,0.5746,2
大模型算法工程师,AI算法,2024-12,1,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-01,2,计算机视觉,计算机视觉与图形,new,core,稳定型,1,0.5673,1
大模型算法工程师,AI算法,2025-02,3,计算机视觉,计算机视觉与图形,new,core,稳定型,1,0.5673,1
大模型算法工程师,AI算法,2025-03,4,计算机视觉,计算机视觉与图形,new,core,稳定型,1,0.5673,1
大模型算法工程师,AI算法,2025-04,5,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-05,6,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-06,7,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-07,8,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-08,9,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-09,10,计算机视觉,计算机视觉与图形,new,core,稳定型,2,0.5673,1
大模型算法工程师,AI算法,2025-10,11,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2025-11,12,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2025-12,13,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2026-01,14,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2026-02,15,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2026-03,16,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2026-04,17,计算机视觉,计算机视觉与图形,new,core,稳定型,3,0.5673,2
大模型算法工程师,AI算法,2026-05,18,计算机视觉,计算机视觉与图形,new,core,稳定型,4,0.5673,2
大模型算法工程师,AI算法,2026-06,19,计算机视觉,计算机视觉与图形,new,core,稳定型,4,0.5673,2
大模型算法工程师,AI算法,2026-07,20,计算机视觉,计算机视觉与图形,new,core,稳定型,4,0.5673,2
大模型算法工程师,AI算法,2024-12,1,DPO,大模型,new,core,先上升后稳定,2,0.0000,0
大模型算法工程师,AI算法,2025-01,2,DPO,大模型,new,core,先上升后稳定,1,0.4703,0
大模型算法工程师,AI算法,2025-02,3,DPO,大模型,new,core,先上升后稳定,1,0.4703,0
大模型算法工程师,AI算法,2025-03,4,DPO,大模型,new,core,先上升后稳定,1,0.4703,0
大模型算法工程师,AI算法,2025-04,5,DPO,大模型,new,core,先上升后稳定,2,0.4703,1
大模型算法工程师,AI算法,2025-05,6,DPO,大模型,new,core,先上升后稳定,2,0.4703,1
大模型算法工程师,AI算法,2025-06,7,DPO,大模型,new,core,先上升后稳定,2,0.4800,1
大模型算法工程师,AI算法,2025-07,8,DPO,大模型,new,core,先上升后稳定,2,0.4816,1
大模型算法工程师,AI算法,2025-08,9,DPO,大模型,new,core,先上升后稳定,2,0.4800,1
大模型算法工程师,AI算法,2025-09,10,DPO,大模型,new,core,先上升后稳定,2,0.5452,1
大模型算法工程师,AI算法,2025-10,11,DPO,大模型,new,core,先上升后稳定,3,0.6037,2
大模型算法工程师,AI算法,2025-11,12,DPO,大模型,new,core,先上升后稳定,3,0.5768,2
大模型算法工程师,AI算法,2025-12,13,DPO,大模型,new,core,先上升后稳定,3,0.6258,2
大模型算法工程师,AI算法,2026-01,14,DPO,大模型,new,core,先上升后稳定,3,0.6041,2
大模型算法工程师,AI算法,2026-02,15,DPO,大模型,new,core,先上升后稳定,3,0.5789,2
大模型算法工程师,AI算法,2026-03,16,DPO,大模型,new,core,先上升后稳定,3,0.6507,2
大模型算法工程师,AI算法,2026-04,17,DPO,大模型,new,core,先上升后稳定,3,0.5894,2
大模型算法工程师,AI算法,2026-05,18,DPO,大模型,new,core,先上升后稳定,4,0.6427,3
大模型算法工程师,AI算法,2026-06,19,DPO,大模型,new,core,先上升后稳定,4,0.6147,2
大模型算法工程师,AI算法,2026-07,20,DPO,大模型,new,core,先上升后稳定,4,0.5645,2
大模型算法工程师,AI算法,2024-12,1,DeepSpeed,大模型,new,core,先上升后稳定,2,0.4703,1
大模型算法工程师,AI算法,2025-01,2,DeepSpeed,大模型,new,core,先上升后稳定,1,0.4703,0
大模型算法工程师,AI算法,2025-02,3,DeepSpeed,大模型,new,core,先上升后稳定,1,0.4703,0
大模型算法工程师,AI算法,2025-03,4,DeepSpeed,大模型,new,core,先上升后稳定,1,0.4703,0
大模型算法工程师,AI算法,2025-04,5,DeepSpeed,大模型,new,core,先上升后稳定,2,0.4703,1
大模型算法工程师,AI算法,2025-05,6,DeepSpeed,大模型,new,core,先上升后稳定,2,0.4800,1
大模型算法工程师,AI算法,2025-06,7,DeepSpeed,大模型,new,core,先上升后稳定,2,0.4958,1
