new_skill,occurrence_rows
.NET,1
agent,1
ai coding,28
AIGC,28
AIops,28
AI助手,3
AI基础设施,9
AI安全,2
AI工作流设计,28
AI工程,1
AI应用开发,28
AI框架,2
AI测试,6
AI算法,19
AI芯片,4
Ascend,4
ASR,9
Attention机制,7
AUTOSAR,1
C/C++,1
CAD/CAE工具,1
CUDA,1
Diffusion模型,7
Diff算法,1
Docker,8
DSP开发,1
Embedding,1
ESL建模,1
ETA算法,1
Go,1
GPU内存优化,16
harness工程,1
HIL测试,1
HMI开发,1
Hook技术,1
ISP算法,1
IT基础设施,28
Java,1
JavaScript,1
Kotlin,1
LLM,28
LLMOps/MLOps,1
LoRA微调,1
Lua,1
Machine Learning,28
MCP协议,1
MoE模型,1
Multimodal AI,28
NLP,28
Node.js,1
OAuth,2
OTA升级,3
PCA,2
PHP,1
PIE工艺整合,1
PIL测试,1
PLC编程,7
prompt工程,3
Python,1
RAG,5
Rust,1
Shell脚本,1
SIL测试,1
SIMD,1
SRE,21
Swift开发,1
TTS,23
VLA模型,1
VLM,10
Web爬虫,27
上下文工程,28
不确定性建模,2
世界模型,4
主机平台开发,5
主题建模,1
云计算,28
交互技术,12
交通算法,9
人因工程,2
人机交互,8
人格化建模,1
仓储自动化,4
代价模型,1
仿真技术,28
位姿估计,3
位姿图优化,2
位置编码,1
信号处理,28
信号完整性,5
信息安全,28
信息论,2
偏好学习,11
健康算法,4
充电系统,9
光学技术,28
光计算,1
冷启动优化,4
功能安全,9
动作捕捉,3
动作生成,6
动作识别,3
动态分析,8
动画技术,19
区块链,1
协同系统,6
协处理器,1
即时通信,4
参数估计,5
参数调优,3
反馈学习,3
可解释AI,12
可靠性设计,3
向量计算,7
因子分析,3
因果推断,11
国产化适配,21
图像图形技术,28
在线实验,3
在线服务,24
地图算法,28
垂直领域模型,3
域控制器,3
增量学习,1
增量更新,1
复杂SoC设计,1
复杂交互开发,1
复杂模型结构实现,1
多任务学习,2
多实例学习,1
多方安全计算,2
多源信息融合SLAM,1
多源异构知识处理,1
多目标优化,8
多目标跟踪,2
多租户架构,9
多语言均衡,1
多语言开发,5
大模型ASR,1
大模型偏好数据,1
大模型后训练,1
大模型安全,26
大模型强化,14
大模型微调,13
大模型训练,28
大模型评测,2
大模型调优,1
大模型预训练,1
大规模并发AI,1
封装EDA,4
封装格式,1
小模型,4
工业自动化,18
序列建模,8
座舱系统,3
异常检测,21
异构计算,28
引擎开发,9
弱网优化,6
归因分析,4
录制回放,1
形式化验证,8
形式语义,1
微应用开发,2
微服务安全,1
微服务测试,1
惯性导航,3
感知算法,14
手写识别,1
持续学习,1
数字人技术,13
数字取证,2
数据工程,28
时钟设计,14
时间同步,1
时间序列算法,28
机器人与自动驾驶,28
查询优化,17
标定校准,4
模型压缩,17
模型安全,15
模型对齐,8
模型工程,28
模型并行,8
模型推理,28
模型服务化,28
模型训练,28
模型评测,28
模式识别,4
模拟电路设计,25
汇编语言,9
汽车电子,15
流式计算,18
流程自动化,7
消融实验,1
混沌工程,1
游戏与图形开发,28
版图设计,3
物联网,4
特征工程,28
知识图谱,28
研发效能,28
硬件开发,28
神经元激活分析,1
神经符号推理,2
科学计算,8
科学计算软件,2
稀疏计算,12
空间智能,15
端到端定位,1
端到端系统,17
算子开发,1
算法工程,28
系统开发,28
编程语言,28
编解码技术,3
网络技术,28
自动化技术,28
自动化算法,6
自动化运维,11
触控技术,5
触觉技术,7
计算机体系结构,26
计算机网络,1
计算机视觉,28
认知架构,1
设备安全,9
设计验证,3
误差分析,2
调试工具,11
跨平台开发,28
跨语言技术,11
身份认证,17
软件工程,28
软件开发,28
软件测试,28
软硬件协同,28
通信技术,28
雷达算法,3
音视频技术,28
高性能计算,28
高性能通信,28
高速接口,28
