standard_job,standard_category,month,month_index,demand_trend_type,planned_jd_count,is_active_month
大模型算法工程师,AI算法,2024-12,1,持续上升,2,yes
大模型算法工程师,AI算法,2025-01,2,持续上升,1,yes
大模型算法工程师,AI算法,2025-02,3,持续上升,1,yes
大模型算法工程师,AI算法,2025-03,4,持续上升,1,yes
大模型算法工程师,AI算法,2025-04,5,持续上升,2,yes
大模型算法工程师,AI算法,2025-05,6,持续上升,2,yes
大模型算法工程师,AI算法,2025-06,7,持续上升,2,yes
大模型算法工程师,AI算法,2025-07,8,持续上升,2,yes
大模型算法工程师,AI算法,2025-08,9,持续上升,2,yes
大模型算法工程师,AI算法,2025-09,10,持续上升,2,yes
大模型算法工程师,AI算法,2025-10,11,持续上升,3,yes
大模型算法工程师,AI算法,2025-11,12,持续上升,3,yes
大模型算法工程师,AI算法,2025-12,13,持续上升,3,yes
大模型算法工程师,AI算法,2026-01,14,持续上升,4,yes
大模型算法工程师,AI算法,2026-02,15,持续上升,3,yes
大模型算法工程师,AI算法,2026-03,16,持续上升,3,yes
大模型算法工程师,AI算法,2026-04,17,持续上升,3,yes
大模型算法工程师,AI算法,2026-05,18,持续上升,5,yes
大模型算法工程师,AI算法,2026-06,19,持续上升,4,yes
大模型算法工程师,AI算法,2026-07,20,持续上升,4,yes
大模型应用工程师,AI应用,2024-12,1,稳定波动,2,yes
大模型应用工程师,AI应用,2025-01,2,稳定波动,4,yes
大模型应用工程师,AI应用,2025-02,3,稳定波动,4,yes
大模型应用工程师,AI应用,2025-03,4,稳定波动,4,yes
大模型应用工程师,AI应用,2025-04,5,稳定波动,3,yes
大模型应用工程师,AI应用,2025-05,6,稳定波动,3,yes
大模型应用工程师,AI应用,2025-06,7,稳定波动,3,yes
大模型应用工程师,AI应用,2025-07,8,稳定波动,3,yes
大模型应用工程师,AI应用,2025-08,9,稳定波动,4,yes
大模型应用工程师,AI应用,2025-09,10,稳定波动,3,yes
大模型应用工程师,AI应用,2025-10,11,稳定波动,4,yes
大模型应用工程师,AI应用,2025-11,12,稳定波动,3,yes
大模型应用工程师,AI应用,2025-12,13,稳定波动,0,no
大模型应用工程师,AI应用,2026-01,14,稳定波动,2,yes
大模型应用工程师,AI应用,2026-02,15,稳定波动,3,yes
大模型应用工程师,AI应用,2026-03,16,稳定波动,4,yes
大模型应用工程师,AI应用,2026-04,17,稳定波动,4,yes
大模型应用工程师,AI应用,2026-05,18,稳定波动,4,yes
大模型应用工程师,AI应用,2026-06,19,稳定波动,3,yes
大模型应用工程师,AI应用,2026-07,20,稳定波动,2,yes
AI应用工程师,AI应用,2024-12,1,持续上升,2,yes
AI应用工程师,AI应用,2025-01,2,持续上升,2,yes
AI应用工程师,AI应用,2025-02,3,持续上升,2,yes
AI应用工程师,AI应用,2025-03,4,持续上升,1,yes
AI应用工程师,AI应用,2025-04,5,持续上升,1,yes
AI应用工程师,AI应用,2025-05,6,持续上升,1,yes
AI应用工程师,AI应用,2025-06,7,持续上升,2,yes
AI应用工程师,AI应用,2025-07,8,持续上升,2,yes
AI应用工程师,AI应用,2025-08,9,持续上升,1,yes
AI应用工程师,AI应用,2025-09,10,持续上升,2,yes
AI应用工程师,AI应用,2025-10,11,持续上升,2,yes
AI应用工程师,AI应用,2025-11,12,持续上升,2,yes
AI应用工程师,AI应用,2025-12,13,持续上升,2,yes
AI应用工程师,AI应用,2026-01,14,持续上升,3,yes
AI应用工程师,AI应用,2026-02,15,持续上升,3,yes
AI应用工程师,AI应用,2026-03,16,持续上升,3,yes
AI应用工程师,AI应用,2026-04,17,持续上升,3,yes
AI应用工程师,AI应用,2026-05,18,持续上升,4,yes
AI应用工程师,AI应用,2026-06,19,持续上升,4,yes
AI应用工程师,AI应用,2026-07,20,持续上升,4,yes
AI安全工程师,AI安全,2024-12,1,消失后再出现,2,yes
AI安全工程师,AI安全,2025-01,2,消失后再出现,0,no
AI安全工程师,AI安全,2025-02,3,消失后再出现,3,yes
AI安全工程师,AI安全,2025-03,4,消失后再出现,2,yes
AI安全工程师,AI安全,2025-04,5,消失后再出现,2,yes
