standard_job,standard_category,source_jd_count,unique_skill_count,has_source_data,demand_trend_type,activity_pattern,total_planned_jd_count,active_month_count,zero_month_count,first_active_month,last_active_month,peak_month,min_monthly_jd,max_monthly_jd,has_reappearance,profile_notes
大模型算法工程师,AI算法,914,2402,yes,持续上升,常规月度波动,52,20,0,2024-12,2026-07,2026-05,1,5,no,
大模型应用工程师,AI应用,609,2757,yes,稳定波动,常规月度波动,62,19,1,2024-12,2026-07,2025-01,2,4,yes,
AI应用工程师,AI应用,425,1940,yes,持续上升,常规月度波动,45,20,0,2024-12,2026-07,2026-05,1,4,no,
AI安全工程师,AI安全,93,859,yes,消失后再出现,趋势包含阶段性不出现,21,11,9,2024-12,2026-07,2025-02,1,3,yes,
AI Infra工程师,AI基础设施,473,2721,yes,持续下降,常规月度波动,33,18,2,2024-12,2026-07,2024-12,1,3,yes,
AIGC算法工程师,AI算法,105,482,yes,稳定波动,常规月度波动,36,19,1,2024-12,2026-07,2025-02,1,3,yes,
多模态算法工程师,AI算法,163,781,yes,先上升后下降,常规月度波动,45,19,1,2024-12,2026-07,2026-02,1,4,yes,
NLP算法工程师,AI算法,103,510,yes,稳定波动,常规月度波动,42,20,0,2024-12,2026-07,2025-01,1,3,no,
计算机视觉算法工程师,AI算法,71,518,yes,稳定波动,常规月度波动,42,20,0,2024-12,2026-07,2025-01,1,3,no,
语音算法工程师,AI算法,97,534,yes,先上升后稳定,常规月度波动,48,19,1,2024-12,2026-07,2025-09,1,3,yes,
推荐算法工程师,算法,278,537,yes,先上升后下降,常规月度波动,45,19,1,2024-12,2026-07,2025-10,1,4,yes,
搜索算法工程师,算法,103,427,yes,持续上升,常规月度波动,36,19,1,2024-12,2026-07,2026-04,1,3,yes,
广告算法工程师,算法,159,492,yes,先上升后下降,常规月度波动,37,19,1,2024-12,2026-07,2025-09,1,3,yes,
风控算法工程师,算法,75,352,yes,持续下降,常规月度波动,34,19,1,2024-12,2026-07,2024-12,1,3,yes,
机器学习算法工程师,AI算法,95,574,yes,稳定波动,常规月度波动,49,20,0,2024-12,2026-07,2025-01,2,3,no,
数据挖掘算法工程师,算法,46,212,yes,间歇出现,趋势包含阶段性不出现,15,8,12,2025-01,2026-06,2025-01,1,2,yes,
算法研究员,AI算法,73,495,yes,稳定波动,常规月度波动,28,18,2,2024-12,2026-07,2024-12,1,2,yes,
算法工程师,AI算法,749,3449,yes,持续上升,常规月度波动,59,20,0,2024-12,2026-07,2026-06,1,6,no,
后端开发工程师,软件研发,1191,2475,yes,先上升后稳定,常规月度波动,72,19,1,2025-01,2026-07,2026-01,2,6,no,
前端开发工程师,软件研发,532,1127,yes,先上升后稳定,常规月度波动,57,19,1,2025-01,2026-07,2025-10,1,4,no,存在未分阶段技能
全栈开发工程师,软件研发,73,436,yes,先上升后下降,常规月度波动,48,20,0,2024-12,2026-07,2025-10,1,4,no,
Java开发工程师,软件研发,263,995,yes,稳定波动,常规月度波动,53,18,2,2024-12,2026-07,2025-01,2,4,yes,
C++开发工程师,软件研发,111,800,yes,间歇出现,趋势包含阶段性不出现,14,7,13,2024-12,2026-06,2024-12,2,2,yes,
