month,month_index,standard_job,standard_category,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,skill_trend_type,skill_stage,job_demand_trend_type
2024-12,1,大模型算法工程师,AI算法,NLP,大模型,2,0,0.0000,2,0,0.0000,后期突增,new,持续上升
2025-01,2,大模型算法工程师,AI算法,NLP,大模型,1,0,0.0000,3,0,0.0000,后期突增,new,持续上升
2025-02,3,大模型算法工程师,AI算法,NLP,大模型,1,0,0.0000,4,0,0.0000,后期突增,new,持续上升
2025-03,4,大模型算法工程师,AI算法,NLP,大模型,1,0,0.0000,5,0,0.0000,后期突增,new,持续上升
2025-04,5,大模型算法工程师,AI算法,NLP,大模型,2,0,0.0000,7,0,0.0000,后期突增,new,持续上升
2025-05,6,大模型算法工程师,AI算法,NLP,大模型,2,1,0.5000,9,1,0.1111,后期突增,new,持续上升
2025-06,7,大模型算法工程师,AI算法,NLP,大模型,2,1,0.5000,11,2,0.1818,后期突增,new,持续上升
2025-07,8,大模型算法工程师,AI算法,NLP,大模型,2,0,0.0000,13,2,0.1538,后期突增,new,持续上升
2025-08,9,大模型算法工程师,AI算法,NLP,大模型,2,0,0.0000,15,2,0.1333,后期突增,new,持续上升
2025-09,10,大模型算法工程师,AI算法,NLP,大模型,2,1,0.5000,17,3,0.1765,后期突增,new,持续上升
2025-10,11,大模型算法工程师,AI算法,NLP,大模型,3,1,0.3333,20,4,0.2000,后期突增,new,持续上升
2025-11,12,大模型算法工程师,AI算法,NLP,大模型,3,0,0.0000,23,4,0.1739,后期突增,new,持续上升
2025-12,13,大模型算法工程师,AI算法,NLP,大模型,3,0,0.0000,26,4,0.1538,后期突增,new,持续上升
2026-01,14,大模型算法工程师,AI算法,NLP,大模型,4,1,0.2500,30,5,0.1667,后期突增,new,持续上升
2026-02,15,大模型算法工程师,AI算法,NLP,大模型,3,0,0.0000,33,5,0.1515,后期突增,new,持续上升
2026-03,16,大模型算法工程师,AI算法,NLP,大模型,3,0,0.0000,36,5,0.1389,后期突增,new,持续上升
2026-04,17,大模型算法工程师,AI算法,NLP,大模型,3,1,0.3333,39,6,0.1538,后期突增,new,持续上升
2026-05,18,大模型算法工程师,AI算法,NLP,大模型,5,1,0.2000,44,7,0.1591,后期突增,new,持续上升
2026-06,19,大模型算法工程师,AI算法,NLP,大模型,4,1,0.2500,48,8,0.1667,后期突增,new,持续上升
2026-07,20,大模型算法工程师,AI算法,NLP,大模型,4,2,0.5000,52,10,0.1923,后期突增,new,持续上升
2024-12,1,大模型算法工程师,AI算法,SFT,大模型,2,0,0.0000,2,0,0.0000,稳定型,new,持续上升
2025-01,2,大模型算法工程师,AI算法,SFT,大模型,1,0,0.0000,3,0,0.0000,稳定型,new,持续上升
2025-02,3,大模型算法工程师,AI算法,SFT,大模型,1,0,0.0000,4,0,0.0000,稳定型,new,持续上升
2025-03,4,大模型算法工程师,AI算法,SFT,大模型,1,0,0.0000,5,0,0.0000,稳定型,new,持续上升
2025-04,5,大模型算法工程师,AI算法,SFT,大模型,2,0,0.0000,7,0,0.0000,稳定型,new,持续上升
2025-05,6,大模型算法工程师,AI算法,SFT,大模型,2,1,0.5000,9,1,0.1111,稳定型,new,持续上升
2025-06,7,大模型算法工程师,AI算法,SFT,大模型,2,0,0.0000,11,1,0.0909,稳定型,new,持续上升
2025-07,8,大模型算法工程师,AI算法,SFT,大模型,2,1,0.5000,13,2,0.1538,稳定型,new,持续上升
2025-08,9,大模型算法工程师,AI算法,SFT,大模型,2,0,0.0000,15,2,0.1333,稳定型,new,持续上升
2025-09,10,大模型算法工程师,AI算法,SFT,大模型,2,0,0.0000,17,2,0.1176,稳定型,new,持续上升
2025-10,11,大模型算法工程师,AI算法,SFT,大模型,3,0,0.0000,20,2,0.1000,稳定型,new,持续上升
2025-11,12,大模型算法工程师,AI算法,SFT,大模型,3,0,0.0000,23,2,0.0870,稳定型,new,持续上升
2025-12,13,大模型算法工程师,AI算法,SFT,大模型,3,0,0.0000,26,2,0.0769,稳定型,new,持续上升
2026-01,14,大模型算法工程师,AI算法,SFT,大模型,4,1,0.2500,30,3,0.1000,稳定型,new,持续上升
2026-02,15,大模型算法工程师,AI算法,SFT,大模型,3,0,0.0000,33,3,0.0909,稳定型,new,持续上升
2026-03,16,大模型算法工程师,AI算法,SFT,大模型,3,0,0.0000,36,3,0.0833,稳定型,new,持续上升
2026-04,17,大模型算法工程师,AI算法,SFT,大模型,3,1,0.3333,39,4,0.1026,稳定型,new,持续上升
2026-05,18,大模型算法工程师,AI算法,SFT,大模型,5,0,0.0000,44,4,0.0909,稳定型,new,持续上升
2026-06,19,大模型算法工程师,AI算法,SFT,大模型,4,0,0.0000,48,4,0.0833,稳定型,new,持续上升
2026-07,20,大模型算法工程师,AI算法,SFT,大模型,4,0,0.0000,52,4,0.0769,稳定型,new,持续上升
2024-12,1,大模型算法工程师,AI算法,RAG,大模型,2,0,0.0000,2,0,0.0000,先上升后稳定,new,持续上升
2025-01,2,大模型算法工程师,AI算法,RAG,大模型,1,0,0.0000,3,0,0.0000,先上升后稳定,new,持续上升
2025-02,3,大模型算法工程师,AI算法,RAG,大模型,1,0,0.0000,4,0,0.0000,先上升后稳定,new,持续上升
2025-03,4,大模型算法工程师,AI算法,RAG,大模型,1,0,0.0000,5,0,0.0000,先上升后稳定,new,持续上升
2025-04,5,大模型算法工程师,AI算法,RAG,大模型,2,1,0.5000,7,1,0.1429,先上升后稳定,new,持续上升
2025-05,6,大模型算法工程师,AI算法,RAG,大模型,2,0,0.0000,9,1,0.1111,先上升后稳定,new,持续上升
2025-06,7,大模型算法工程师,AI算法,RAG,大模型,2,0,0.0000,11,1,0.0909,先上升后稳定,new,持续上升
