standard_job,standard_category,month,month_index,skill,kg_display_skill,skill_stage,skill_trend_type,planned_jd_count,skill_probability,expected_skill_count
大模型算法工程师,AI算法,2024-12,1,NLP,大模型,new,后期突增,2,0.1147,0
大模型算法工程师,AI算法,2025-01,2,NLP,大模型,new,后期突增,1,0.1254,0
大模型算法工程师,AI算法,2025-02,3,NLP,大模型,new,后期突增,1,0.1623,0
大模型算法工程师,AI算法,2025-03,4,NLP,大模型,new,后期突增,1,0.1433,0
大模型算法工程师,AI算法,2025-04,5,NLP,大模型,new,后期突增,2,0.1311,0
大模型算法工程师,AI算法,2025-05,6,NLP,大模型,new,后期突增,2,0.1409,0
大模型算法工程师,AI算法,2025-06,7,NLP,大模型,new,后期突增,2,0.1294,0
大模型算法工程师,AI算法,2025-07,8,NLP,大模型,new,后期突增,2,0.1491,0
大模型算法工程师,AI算法,2025-08,9,NLP,大模型,new,后期突增,2,0.1357,0
大模型算法工程师,AI算法,2025-09,10,NLP,大模型,new,后期突增,2,0.1621,0
大模型算法工程师,AI算法,2025-10,11,NLP,大模型,new,后期突增,3,0.1556,0
大模型算法工程师,AI算法,2025-11,12,NLP,大模型,new,后期突增,3,0.1330,0
大模型算法工程师,AI算法,2025-12,13,NLP,大模型,new,后期突增,3,0.2227,1
大模型算法工程师,AI算法,2026-01,14,NLP,大模型,new,后期突增,4,0.2673,1
大模型算法工程师,AI算法,2026-02,15,NLP,大模型,new,后期突增,3,0.3421,1
大模型算法工程师,AI算法,2026-03,16,NLP,大模型,new,后期突增,3,0.4119,1
大模型算法工程师,AI算法,2026-04,17,NLP,大模型,new,后期突增,3,0.4821,1
大模型算法工程师,AI算法,2026-05,18,NLP,大模型,new,后期突增,5,0.5515,3
大模型算法工程师,AI算法,2026-06,19,NLP,大模型,new,后期突增,4,0.5454,2
大模型算法工程师,AI算法,2026-07,20,NLP,大模型,new,后期突增,4,0.6459,3
大模型算法工程师,AI算法,2024-12,1,SFT,大模型,new,稳定型,2,0.2737,1
大模型算法工程师,AI算法,2025-01,2,SFT,大模型,new,稳定型,1,0.3213,0
大模型算法工程师,AI算法,2025-02,3,SFT,大模型,new,稳定型,1,0.2855,0
大模型算法工程师,AI算法,2025-03,4,SFT,大模型,new,稳定型,1,0.2997,0
大模型算法工程师,AI算法,2025-04,5,SFT,大模型,new,稳定型,2,0.2708,1
大模型算法工程师,AI算法,2025-05,6,SFT,大模型,new,稳定型,2,0.3085,1
大模型算法工程师,AI算法,2025-06,7,SFT,大模型,new,稳定型,2,0.2599,1
大模型算法工程师,AI算法,2025-07,8,SFT,大模型,new,稳定型,2,0.3309,1
大模型算法工程师,AI算法,2025-08,9,SFT,大模型,new,稳定型,2,0.2782,1
大模型算法工程师,AI算法,2025-09,10,SFT,大模型,new,稳定型,2,0.2801,1
大模型算法工程师,AI算法,2025-10,11,SFT,大模型,new,稳定型,3,0.2687,1
大模型算法工程师,AI算法,2025-11,12,SFT,大模型,new,稳定型,3,0.2632,1
大模型算法工程师,AI算法,2025-12,13,SFT,大模型,new,稳定型,3,0.2912,1
大模型算法工程师,AI算法,2026-01,14,SFT,大模型,new,稳定型,4,0.2539,1
大模型算法工程师,AI算法,2026-02,15,SFT,大模型,new,稳定型,3,0.2557,1
大模型算法工程师,AI算法,2026-03,16,SFT,大模型,new,稳定型,3,0.2961,1
大模型算法工程师,AI算法,2026-04,17,SFT,大模型,new,稳定型,3,0.2980,1
大模型算法工程师,AI算法,2026-05,18,SFT,大模型,new,稳定型,5,0.3178,2
大模型算法工程师,AI算法,2026-06,19,SFT,大模型,new,稳定型,4,0.3485,1
大模型算法工程师,AI算法,2026-07,20,SFT,大模型,new,稳定型,4,0.2709,1
大模型算法工程师,AI算法,2024-12,1,RAG,大模型,new,先上升后稳定,2,0.1530,0
大模型算法工程师,AI算法,2025-01,2,RAG,大模型,new,先上升后稳定,1,0.1960,0
大模型算法工程师,AI算法,2025-02,3,RAG,大模型,new,先上升后稳定,1,0.2280,0
大模型算法工程师,AI算法,2025-03,4,RAG,大模型,new,先上升后稳定,1,0.2567,0
大模型算法工程师,AI算法,2025-04,5,RAG,大模型,new,先上升后稳定,2,0.3017,1
大模型算法工程师,AI算法,2025-05,6,RAG,大模型,new,先上升后稳定,2,0.3522,1
大模型算法工程师,AI算法,2025-06,7,RAG,大模型,new,先上升后稳定,2,0.3816,1
大模型算法工程师,AI算法,2025-07,8,RAG,大模型,new,先上升后稳定,2,0.4109,1
大模型算法工程师,AI算法,2025-08,9,RAG,大模型,new,先上升后稳定,2,0.4279,1
大模型算法工程师,AI算法,2025-09,10,RAG,大模型,new,先上升后稳定,2,0.5092,1
大模型算法工程师,AI算法,2025-10,11,RAG,大模型,new,先上升后稳定,3,0.5228,2
大模型算法工程师,AI算法,2025-11,12,RAG,大模型,new,先上升后稳定,3,0.5703,2
大模型算法工程师,AI算法,2025-12,13,RAG,大模型,new,先上升后稳定,3,0.5793,2
大模型算法工程师,AI算法,2026-01,14,RAG,大模型,new,先上升后稳定,4,0.5846,2
