standard_job,standard_category,skill,kg_display_skill,skill_stage,source_row_count,traditional_source_row_count,new_source_row_count
大模型算法工程师,AI算法,LLM,大模型,new,519,10,509
大模型算法工程师,AI算法,Python,编程语言,traditional,458,458,0
大模型算法工程师,AI算法,C/C++,编程语言,traditional,436,436,0
大模型算法工程师,AI算法,Machine Learning,AI,new,430,132,298
大模型算法工程师,AI算法,NLP,大模型,new,401,401,0
大模型算法工程师,AI算法,PyTorch,AI,traditional,371,0,371
大模型算法工程师,AI算法,机器学习,AI,traditional,324,0,324
大模型算法工程师,AI算法,深度学习,AI,traditional,256,0,256
大模型算法工程师,AI算法,多模态,大模型,new,252,0,252
大模型算法工程师,AI算法,TensorFlow,AI,traditional,241,0,241
大模型算法工程师,AI算法,计算机视觉,计算机视觉与图形,new,220,64,156
大模型算法工程师,AI算法,SFT,大模型,new,190,0,190
大模型算法工程师,AI算法,Agent,大模型,new,183,6,177
大模型算法工程师,AI算法,RLHF,大模型,new,147,0,147
大模型算法工程师,AI算法,大模型训练,大模型,new,142,27,115
大模型算法工程师,AI算法,AIGC,AI,new,125,31,94
大模型算法工程师,AI算法,Transformer,大模型,new,121,0,121
大模型算法工程师,AI算法,RAG,大模型,new,113,2,111
大模型算法工程师,AI算法,DPO,大模型,new,80,0,80
大模型算法工程师,AI算法,Java,编程语言,traditional,80,80,0
大模型算法工程师,AI算法,prompt工程,大模型,new,79,0,79
大模型算法工程师,AI算法,VLM,大模型,new,77,3,74
大模型算法工程师,AI算法,推荐算法,AI,traditional,68,68,0
大模型算法工程师,AI算法,分布式训练,大模型,new,63,63,0
大模型算法工程师,AI算法,Linux,系统与运维,traditional,62,62,0
大模型算法工程师,AI算法,模型训练,大模型,new,62,17,45
大模型算法工程师,AI算法,Go,编程语言,traditional,60,60,0
大模型算法工程师,AI算法,PPO,大模型,new,60,60,0
大模型算法工程师,AI算法,模型压缩,大模型,new,56,17,39
大模型算法工程师,AI算法,GRPO,大模型,new,53,53,0
大模型算法工程师,AI算法,图像图形技术,计算机视觉与图形,traditional,50,22,28
大模型算法工程师,AI算法,搜索算法,AI,traditional,49,49,0
大模型算法工程师,AI算法,DeepSpeed,大模型,new,48,0,48
大模型算法工程师,AI算法,大模型微调,大模型,new,47,23,24
大模型算法工程师,AI算法,大模型预训练,大模型,new,47,0,47
大模型算法工程师,AI算法,大模型应用,大模型,new,42,8,34
大模型算法工程师,AI算法,LangChain,大模型,new,41,0,41
大模型算法工程师,AI算法,Megatron,大模型,new,41,0,41
大模型算法工程师,AI算法,TTS,大模型,new,40,20,20
