standard_job,standard_category,skill,kg_display_skill,skill_stage,skill_plan_role,skill_trend_type,job_demand_trend_type,source_jd_count,source_skill_row_count,planned_job_jd_count,average_active_month_probability,max_active_month_probability
大模型算法工程师,AI算法,LLM,大模型,new,core,先上升后稳定,持续上升,587,313,50,0.62,0.62
大模型算法工程师,AI算法,Machine Learning,AI,new,core,稳定型,持续上升,587,275,50,0.62,0.62
大模型算法工程师,AI算法,NLP,大模型,new,core,持续上升,持续上升,587,261,50,0.62,0.62
大模型算法工程师,AI算法,多模态,大模型,new,core,先上升后稳定,持续上升,587,162,50,0.5746,0.5746
大模型算法工程师,AI算法,计算机视觉,计算机视觉与图形,new,core,稳定型,持续上升,587,157,50,0.5673,0.5673
大模型算法工程师,AI算法,DPO,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.5468,0.6507
大模型算法工程师,AI算法,DeepSpeed,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.5707,0.6944
大模型算法工程师,AI算法,GRPO,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.5969,0.7087
大模型算法工程师,AI算法,LoRA微调,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.6051,0.754
大模型算法工程师,AI算法,Megatron,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.6006,0.7502
大模型算法工程师,AI算法,Multimodal AI,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.4835,0.5319
大模型算法工程师,AI算法,PPO,大模型,new,core,先上升后稳定,持续上升,587,90,50,0.5498,0.672
大模型算法工程师,AI算法,RLHF,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4915,0.6065
大模型算法工程师,AI算法,SFT,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4886,0.6122
大模型算法工程师,AI算法,SGLang,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5476,0.667
大模型算法工程师,AI算法,Triton,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4704,0.5726
大模型算法工程师,AI算法,VLM,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4782,0.5854
大模型算法工程师,AI算法,分布式训练,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5627,0.7223
大模型算法工程师,AI算法,大模型安全,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.469,0.5443
大模型算法工程师,AI算法,大模型训练,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4917,0.6002
大模型算法工程师,AI算法,大模型评测,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4789,0.5613
大模型算法工程师,AI算法,大模型调优,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4891,0.5942
大模型算法工程师,AI算法,推理优化,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5357,0.6644
大模型算法工程师,AI算法,模型安全,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5693,0.7862
大模型算法工程师,AI算法,模型工程,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5629,0.7496
大模型算法工程师,AI算法,模型并行,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4647,0.5628
大模型算法工程师,AI算法,模型微调,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5702,0.7315
大模型算法工程师,AI算法,模型推理,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.4878,0.584
大模型算法工程师,AI算法,模型评测,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5728,0.7654
大模型算法工程师,AI算法,模型调优,大模型,new,trend,先上升后稳定,持续上升,587,90,50,0.5511,0.7042
大模型算法工程师,AI算法,AIGC,AI,new,trend,先上升后稳定,持续上升,587,83,50,0.4709,0.5915
大模型算法工程师,AI算法,AI基础设施,AI,new,trend,先上升后稳定,持续上升,587,50,50,0.4608,0.6125
大模型算法工程师,AI算法,AI安全,安全,new,trend,先上升后稳定,持续上升,587,50,50,0.5625,0.7285
大模型算法工程师,AI算法,CUDA,硬件与芯片,new,trend,先上升后稳定,持续上升,587,50,50,0.4932,0.6229
大模型算法工程师,AI算法,Diffusion,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.4787,0.6474
大模型算法工程师,AI算法,Diffusion模型,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.54,0.6917
大模型算法工程师,AI算法,Embedding,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.4044,0.4825
大模型算法工程师,AI算法,GPU内存优化,硬件与芯片,new,trend,先上升后稳定,持续上升,587,50,50,0.4149,0.5382
大模型算法工程师,AI算法,RAG,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.432,0.5658
大模型算法工程师,AI算法,TensorRT,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.5003,0.6435
大模型算法工程师,AI算法,prompt工程,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.4274,0.5656
大模型算法工程师,AI算法,模型部署,大模型,new,trend,先上升后稳定,持续上升,587,50,50,0.4727,0.5987
大模型算法工程师,AI算法,C/C++,编程语言,traditional,core,稳定型,持续上升,587,318,50,0.62,0.62
大模型算法工程师,AI算法,Python,编程语言,traditional,core,先上升后稳定,持续上升,587,302,50,0.62,0.62
大模型算法工程师,AI算法,PyTorch,AI,traditional,core,持续上升,持续上升,587,252,50,0.62,0.62
大模型算法工程师,AI算法,机器学习,AI,traditional,core,稳定型,持续上升,587,232,50,0.62,0.62
大模型算法工程师,AI算法,深度学习,AI,traditional,core,持续上升,持续上升,587,187,50,0.6108,0.6108
大模型算法工程师,AI算法,TensorFlow,AI,traditional,core,持续上升,持续上升,587,167,50,0.5818,0.5818
大模型算法工程师,AI算法,推荐算法,AI,traditional,trend,先上升后稳定,持续上升,587,51,50,0.4195,0.5516
大模型算法工程师,AI算法,图像图形技术,计算机视觉与图形,traditional,trend,先上升后稳定,持续上升,587,35,50,0.361,0.4967
大模型算法工程师,AI算法,搜索算法,AI,traditional,trend,持续下降,持续上升,587,34,50,0.3524,0.5077
大模型算法工程师,AI算法,Go,编程语言,traditional,trend,先上升后下降,持续上升,587,27,50,0.3424,0.4676
大模型算法工程师,AI算法,自然语言处理,AI,traditional,trend,持续下降,持续上升,587,22,50,0.289,0.4095
大模型算法工程师,AI算法,Hadoop,数据工程,traditional,trend,后期突增,持续上升,587,15,50,0.1916,0.3673
大模型算法工程师,AI算法,数据工程,数据工程,traditional,trend,先上升后稳定,持续上升,587,15,50,0.2971,0.3598
大模型算法工程师,AI算法,深度学习框架,AI,traditional,trend,稳定型,持续上升,587,14,50,0.2144,0.2516
大模型算法工程师,AI算法,分布式系统,软件工程,traditional,trend,持续下降,持续上升,587,11,50,0.2188,0.3133
大模型算法工程师,AI算法,分布式计算,数据工程,traditional,trend,持续下降,持续上升,587,11,50,0.2809,0.3653
大模型算法工程师,AI算法,音视频技术,音视频技术,traditional,trend,间歇出现,持续上升,587,9,50,0.2587,0.3378
