new_skill,occurrence_rows,source_files
100B大模型训练,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
10B+模型训练,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
10B模型训练,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
2D AIGC,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
2D计算机视觉,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
3D AIGC,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
3D Diffusion,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
3D-AIGC,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
3D大模型,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
3D生成大模型,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
3D计算机视觉,15,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Action-Conditioned World Model,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent,1143,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Benchmark,17,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Cache池化,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent CLI,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Co-Scientist,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Coding,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent CUI,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Environment,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Evaluation,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
Agent Executor,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
